"Date","September-16-2022"
"Time","19h34m46s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",1024
"Record Rate",1
"Record Time [s]",3.071998e+01
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","36"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,-1.230460e-04,-3.542480e-02,9.993723e-01,-4.509951e+01,4.398494e+01,4.999385e-01,9.203012e+01,9.976594e+01,-3.520896e+01,3.013729e-07,
2.999998e-02,-1.229257e-03,-3.547545e-02,9.993698e-01,-4.599228e+01,4.398288e+01,4.993854e-01,9.203302e+01,9.989799e+01,-3.520840e+01,3.014114e-07,
5.999997e-02,2.041587e-04,-3.385341e-02,9.994268e-01,-4.482724e+01,4.402997e+01,5.001021e-01,9.194003e+01,9.978717e+01,-3.520286e+01,3.017963e-07,
8.999995e-02,-1.951124e-03,-3.386027e-02,9.994247e-01,-4.664895e+01,4.402818e+01,4.990244e-01,9.194043e+01,1.000446e+02,-3.521528e+01,3.009344e-07,
1.199999e-01,-1.054517e-03,-3.579486e-02,9.993586e-01,-4.584372e+01,4.397389e+01,4.994727e-01,9.205133e+01,9.984567e+01,-3.520837e+01,3.014134e-07,
1.499999e-01,-8.820354e-04,-3.697714e-02,9.993157e-01,-4.568322e+01,4.394014e+01,4.995590e-01,9.211912e+01,9.985809e+01,-3.520670e+01,3.015294e-07,
1.799999e-01,-1.869164e-04,-3.491630e-02,9.993902e-01,-4.515336e+01,4.399950e+01,4.999065e-01,9.200096e+01,9.990347e+01,-3.520559e+01,3.016070e-07,
2.099999e-01,-1.926767e-03,-4.013512e-02,9.991924e-01,-4.637424e+01,4.384858e+01,4.990366e-01,9.230019e+01,9.979428e+01,-3.521304e+01,3.010896e-07,
2.399999e-01,-1.428236e-03,-4.040478e-02,9.991824e-01,-4.601223e+01,4.384145e+01,4.992859e-01,9.231566e+01,9.995785e+01,-3.521231e+01,3.011403e-07,
2.699999e-01,-1.675951e-03,-3.916596e-02,9.992313e-01,-4.622512e+01,4.387666e+01,4.991620e-01,9.224462e+01,1.000993e+02,-3.520912e+01,3.013618e-07,
2.999998e-01,-5.577520e-03,-3.629952e-02,9.993254e-01,-4.936767e+01,4.394765e+01,4.972112e-01,9.208030e+01,1.003285e+02,-3.522555e+01,3.002240e-07,
3.299998e-01,-5.701823e-03,-3.397982e-02,9.994063e-01,-4.976275e+01,4.401274e+01,4.971491e-01,9.194731e+01,1.003321e+02,-3.522624e+01,3.001761e-07,
3.599998e-01,-2.698555e-03,-3.167311e-02,9.994946e-01,-4.743493e+01,4.408919e+01,4.986507e-01,9.181505e+01,1.002949e+02,-3.521297e+01,3.010947e-07,
3.899998e-01,-1.586487e-03,-3.665834e-02,9.993266e-01,-4.623904e+01,4.394860e+01,4.992068e-01,9.210084e+01,1.003027e+02,-3.520901e+01,3.013695e-07,
4.199998e-01,-5.950632e-03,-3.675431e-02,9.993066e-01,-4.959828e+01,4.393311e+01,4.970247e-01,9.210638e+01,1.004354e+02,-3.522753e+01,3.000872e-07,
4.499998e-01,-5.938304e-03,-3.389579e-02,9.994077e-01,-4.996849e+01,4.401397e+01,4.970308e-01,9.194249e+01,1.003624e+02,-3.522954e+01,2.999481e-07,
4.799997e-01,-3.164169e-03,-3.167640e-02,9.994932e-01,-4.785219e+01,4.408787e+01,4.984179e-01,9.181524e+01,1.003159e+02,-3.521646e+01,3.008527e-07,
5.099997e-01,-3.208555e-04,-3.150580e-02,9.995035e-01,-4.529174e+01,4.409723e+01,4.998396e-01,9.180545e+01,1.002364e+02,-3.520675e+01,3.015263e-07,
5.399997e-01,-2.869013e-03,-3.157580e-02,9.994972e-01,-4.759585e+01,4.409154e+01,4.985655e-01,9.180947e+01,1.002926e+02,-3.521589e+01,3.008923e-07,
5.699997e-01,-5.950920e-03,-3.518319e-02,9.993632e-01,-4.980010e+01,4.397754e+01,4.970245e-01,9.201630e+01,1.003235e+02,-3.523053e+01,2.998795e-07,
5.999997e-01,-5.551180e-03,-3.686009e-02,9.993050e-01,-4.928223e+01,4.393188e+01,4.972244e-01,9.211244e+01,1.003806e+02,-3.522882e+01,2.999979e-07,
6.299997e-01,-4.591823e-04,-3.665278e-02,9.993280e-01,-4.535888e+01,4.394966e+01,4.997704e-01,9.210052e+01,1.002034e+02,-3.520662e+01,3.015355e-07,
6.599996e-01,-2.125751e-03,-3.132559e-02,9.995070e-01,-4.694107e+01,4.410038e+01,4.989371e-01,9.179512e+01,1.002821e+02,-3.521374e+01,3.010416e-07,
6.899996e-01,-6.196038e-03,-3.533703e-02,9.993562e-01,-4.997261e+01,4.397200e+01,4.969020e-01,9.202512e+01,1.003736e+02,-3.523050e+01,2.998815e-07,
7.199996e-01,-5.440093e-03,-3.737034e-02,9.992867e-01,-4.914125e+01,4.391788e+01,4.972800e-01,9.214169e+01,1.003691e+02,-3.522678e+01,3.001386e-07,
7.499996e-01,-7.399446e-04,-3.615520e-02,9.993459e-01,-4.558622e+01,4.396379e+01,4.996300e-01,9.207199e+01,1.002210e+02,-3.520765e+01,3.014635e-07,
7.799996e-01,-2.136233e-03,-3.227742e-02,9.994767e-01,-4.689326e+01,4.407314e+01,4.989319e-01,9.184969e+01,1.002635e+02,-3.521601e+01,3.008841e-07,
8.099996e-01,-5.481046e-03,-3.464857e-02,9.993845e-01,-4.949456e+01,4.399484e+01,4.972595e-01,9.198564e+01,1.003582e+02,-3.523261e+01,2.997362e-07,
8.399996e-01,-5.260192e-03,-3.710461e-02,9.992975e-01,-4.903443e+01,4.392615e+01,4.973699e-01,9.212646e+01,1.003036e+02,-3.522866e+01,3.000088e-07,
8.699995e-01,-2.371056e-03,-3.839805e-02,9.992597e-01,-4.676675e+01,4.389761e+01,4.988145e-01,9.220059e+01,1.003163e+02,-3.521589e+01,3.008923e-07,
8.999995e-01,2.549996e-04,-3.299465e-02,9.994555e-01,-4.477860e+01,4.405457e+01,5.001275e-01,9.189080e+01,1.001945e+02,-3.520589e+01,3.015860e-07,
9.299995e-01,-3.958861e-03,-3.226109e-02,9.994716e-01,-4.849799e+01,4.406869e+01,4.980206e-01,9.184876e+01,1.003260e+02,-3.522290e+01,3.004070e-07,
9.599995e-01,-5.689292e-03,-3.564047e-02,9.993485e-01,-4.953481e+01,4.396582e+01,4.971554e-01,9.204251e+01,1.003360e+02,-3.523169e+01,2.997996e-07,
9.899995e-01,-6.030746e-03,-3.699635e-02,9.992972e-01,-4.962915e+01,4.392589e+01,4.969846e-01,9.212026e+01,1.003660e+02,-3.523128e+01,2.998278e-07,
1.019999e+00,-2.628465e-03,-3.796275e-02,9.992757e-01,-4.698036e+01,4.390958e+01,4.986858e-01,9.217564e+01,1.003092e+02,-3.521595e+01,3.008878e-07,
