"Date","September-01-2022"
"Time","22h32m53s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",1024
"Record Rate",1
"Record Time [s]",3.071998e+01
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,9.999569e-01,9.266879e-03,5.171984e-04,2.654804e-01,1.481664e-02,9.999785e-01,3.194449e+00,1.000854e+02,-3.568134e+01,2.703124e-07,
2.999998e-02,9.999517e-01,9.530771e-03,2.388531e-03,2.730414e-01,6.842645e-02,9.999759e-01,1.406927e+01,1.001083e+02,-3.567978e+01,2.704096e-07,
5.999997e-02,9.999443e-01,1.039906e-02,1.801948e-03,2.979169e-01,5.162204e-02,9.999722e-01,9.830594e+00,1.001424e+02,-3.568249e+01,2.702410e-07,
8.999995e-02,9.999532e-01,9.665974e-03,-5.105523e-04,2.769141e-01,-1.462625e-02,9.999766e-01,-3.023527e+00,1.000886e+02,-3.568626e+01,2.700062e-07,
1.199999e-01,9.999482e-01,1.012467e-02,-1.004600e-03,2.900554e-01,-2.877966e-02,9.999741e-01,-5.666511e+00,1.001480e+02,-3.567956e+01,2.704231e-07,
1.499999e-01,9.999560e-01,9.354852e-03,6.448365e-04,2.680007e-01,1.847321e-02,9.999780e-01,3.943201e+00,1.001266e+02,-3.567944e+01,2.704310e-07,
1.799999e-01,9.999525e-01,9.443752e-03,2.392483e-03,2.705484e-01,6.853965e-02,9.999763e-01,1.421623e+01,1.001337e+02,-3.567966e+01,2.704173e-07,
2.099999e-01,9.999516e-01,9.710545e-03,1.611145e-03,2.781914e-01,4.615592e-02,9.999758e-01,9.420527e+00,1.001152e+02,-3.568455e+01,2.701128e-07,
2.399999e-01,9.999564e-01,9.340787e-03,-6.176918e-05,2.675977e-01,-1.769557e-03,9.999782e-01,-3.788826e-01,1.001241e+02,-3.568170e+01,2.702903e-07,
2.699999e-01,9.999598e-01,8.864438e-03,-1.381055e-03,2.539510e-01,-3.956432e-02,9.999799e-01,-8.855333e+00,1.001362e+02,-3.567887e+01,2.704665e-07,
2.999998e-01,9.999572e-01,9.249477e-03,1.358652e-05,2.649818e-01,3.892252e-04,9.999786e-01,8.416149e-02,1.000870e+02,-3.568328e+01,2.701917e-07,
3.299998e-01,9.999534e-01,9.399651e-03,2.210278e-03,2.692848e-01,6.331985e-02,9.999767e-01,1.323241e+01,1.001182e+02,-3.568006e+01,2.703920e-07,
3.599998e-01,9.999432e-01,1.043958e-02,2.167170e-03,2.990781e-01,6.208490e-02,9.999716e-01,1.172756e+01,1.000893e+02,-3.568185e+01,2.702809e-07,
3.899998e-01,9.999549e-01,9.501712e-03,-8.556200e-06,2.722081e-01,-2.451171e-04,9.999774e-01,-5.159429e-02,1.001446e+02,-3.568192e+01,2.702763e-07,
4.199998e-01,9.999618e-01,8.642003e-03,-1.339802e-03,2.475784e-01,-3.838251e-02,9.999809e-01,-8.812621e+00,1.001417e+02,-3.567662e+01,2.706062e-07,
4.499998e-01,9.999515e-01,9.838104e-03,-5.179389e-04,2.818455e-01,-1.483786e-02,9.999757e-01,-3.013624e+00,1.001290e+02,-3.567894e+01,2.704617e-07,
4.799997e-01,9.999558e-01,9.169351e-03,2.100426e-03,2.626868e-01,6.017281e-02,9.999779e-01,1.290216e+01,1.000945e+02,-3.567794e+01,2.705242e-07,
5.099997e-01,9.999469e-01,1.004692e-02,2.292870e-03,2.878287e-01,6.568596e-02,9.999734e-01,1.285566e+01,1.001255e+02,-3.567969e+01,2.704149e-07,
5.399997e-01,9.999547e-01,9.515063e-03,2.148505e-04,2.725906e-01,6.155012e-03,9.999774e-01,1.293521e+00,1.001272e+02,-3.568351e+01,2.701774e-07,
5.699997e-01,9.999504e-01,9.877434e-03,-1.313754e-03,2.829725e-01,-3.763628e-02,9.999752e-01,-7.576191e+00,1.000925e+02,-3.567913e+01,2.704500e-07,
5.999997e-01,9.999479e-01,1.020787e-02,-8.634754e-05,2.924391e-01,-2.473675e-03,9.999739e-01,-4.846486e-01,1.000781e+02,-3.567981e+01,2.704076e-07,
6.299997e-01,9.999423e-01,1.047438e-02,2.366660e-03,3.000753e-01,6.779989e-02,9.999712e-01,1.273204e+01,1.001528e+02,-3.567732e+01,2.705627e-07,
6.599996e-01,9.999396e-01,1.076286e-02,2.206197e-03,3.083398e-01,6.320293e-02,9.999698e-01,1.158416e+01,1.001211e+02,-3.567830e+01,2.705014e-07,
6.899996e-01,9.999587e-01,9.089266e-03,1.804440e-04,2.603919e-01,5.169339e-03,9.999793e-01,1.137311e+00,1.001232e+02,-3.568259e+01,2.702346e-07,
7.199996e-01,9.999502e-01,9.905090e-03,-1.247478e-03,2.837648e-01,-3.573763e-02,9.999751e-01,-7.178217e+00,1.001250e+02,-3.567899e+01,2.704588e-07,
7.499996e-01,9.999444e-01,1.053354e-02,4.651154e-04,3.017692e-01,1.332458e-02,9.999722e-01,2.528292e+00,1.001001e+02,-3.568002e+01,2.703943e-07,
7.799996e-01,9.999507e-01,9.655698e-03,2.336818e-03,2.766204e-01,6.694496e-02,9.999753e-01,1.360481e+01,1.001280e+02,-3.567674e+01,2.705990e-07,
8.099996e-01,9.999475e-01,1.009605e-02,1.766061e-03,2.892358e-01,5.059393e-02,9.999737e-01,9.922130e+00,1.001117e+02,-3.568091e+01,2.703393e-07,
