"Date","September-02-2022"
"Time","23h35m59s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",1024
"Record Rate",1
"Record Time [s]",3.071998e+01
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,-5.626128e-01,3.265103e-01,-7.595116e-01,7.493571e+01,-2.471058e+01,2.186936e-01,-6.673737e+01,4.995864e+01,-3.626902e+01,2.361013e-07,
2.999998e-02,-5.648098e-01,3.284310e-01,-7.570489e-01,7.491122e+01,-2.460236e+01,2.175951e-01,-6.654732e+01,5.002348e+01,-3.627455e+01,2.358005e-07,
5.999997e-02,-5.642659e-01,3.193429e-01,-7.613305e-01,7.524628e+01,-2.479082e+01,2.178670e-01,-6.724421e+01,5.035028e+01,-3.627650e+01,2.356950e-07,
8.999995e-02,-5.506221e-01,3.195181e-01,-7.711832e-01,7.493701e+01,-2.523013e+01,2.246890e-01,-6.749470e+01,4.999706e+01,-3.625396e+01,2.369215e-07,
1.199999e-01,-5.548599e-01,3.267242e-01,-7.651025e-01,7.475434e+01,-2.495806e+01,2.225701e-01,-6.687591e+01,5.014575e+01,-3.626113e+01,2.365303e-07,
1.499999e-01,-5.654641e-01,3.252660e-01,-7.579264e-01,7.504582e+01,-2.464087e+01,2.172680e-01,-6.677329e+01,5.007278e+01,-3.627486e+01,2.357838e-07,
1.799999e-01,-5.616552e-01,3.289858e-01,-7.591520e-01,7.482032e+01,-2.469475e+01,2.191724e-01,-6.657004e+01,4.990760e+01,-3.627192e+01,2.359433e-07,
2.099999e-01,-5.620732e-01,3.191327e-01,-7.630387e-01,7.520653e+01,-2.486641e+01,2.189634e-01,-6.730341e+01,5.020723e+01,-3.627460e+01,2.357980e-07,
2.399999e-01,-5.521241e-01,3.175824e-01,-7.709088e-01,7.504622e+01,-2.521778e+01,2.239379e-01,-6.761037e+01,5.005754e+01,-3.625695e+01,2.367584e-07,
2.699999e-01,-5.553508e-01,3.266037e-01,-7.647977e-01,7.477003e+01,-2.494450e+01,2.223246e-01,-6.687530e+01,5.019712e+01,-3.626032e+01,2.365746e-07,
2.999998e-01,-5.646259e-01,3.252231e-01,-7.585694e-01,7.502908e+01,-2.466912e+01,2.176870e-01,-6.679363e+01,5.005660e+01,-3.627243e+01,2.359158e-07,
3.299998e-01,-5.658076e-01,3.278854e-01,-7.565401e-01,7.495386e+01,-2.458006e+01,2.170962e-01,-6.656803e+01,5.012268e+01,-3.627602e+01,2.357207e-07,
3.599998e-01,-5.602521e-01,3.176856e-01,-7.649794e-01,7.522250e+01,-2.495258e+01,2.198740e-01,-6.744755e+01,5.012742e+01,-3.626945e+01,2.360779e-07,
3.899998e-01,-5.509834e-01,3.212013e-01,-7.702253e-01,7.487976e+01,-2.518706e+01,2.245083e-01,-6.736276e+01,5.004499e+01,-3.625254e+01,2.369990e-07,
4.199998e-01,-5.578532e-01,3.277877e-01,-7.624664e-01,7.478101e+01,-2.484106e+01,2.210734e-01,-6.673692e+01,5.034667e+01,-3.626448e+01,2.363482e-07,
4.499998e-01,-5.622194e-01,3.254570e-01,-7.602546e-01,7.496718e+01,-2.474332e+01,2.188903e-01,-6.682475e+01,4.982251e+01,-3.626761e+01,2.361777e-07,
4.799997e-01,-5.650784e-01,3.271851e-01,-7.573878e-01,7.496440e+01,-2.461723e+01,2.174608e-01,-6.663607e+01,5.010647e+01,-3.627546e+01,2.357515e-07,
5.099997e-01,-5.609826e-01,3.185644e-01,-7.640781e-01,7.520456e+01,-2.491252e+01,2.195087e-01,-6.736745e+01,5.020978e+01,-3.626898e+01,2.361032e-07,
5.399997e-01,-5.510641e-01,3.221433e-01,-7.697740e-01,7.484506e+01,-2.516680e+01,2.244680e-01,-6.729114e+01,5.011967e+01,-3.625431e+01,2.369022e-07,
5.699997e-01,-5.572956e-01,3.272552e-01,-7.631026e-01,7.478884e+01,-2.486924e+01,2.213522e-01,-6.678801e+01,5.016304e+01,-3.626372e+01,2.363894e-07,
5.999997e-01,-5.639583e-01,3.263136e-01,-7.585977e-01,7.497289e+01,-2.467036e+01,2.180208e-01,-6.672486e+01,4.999043e+01,-3.627227e+01,2.359246e-07,
