"Date","September-15-2022"
"Time","20h27m26s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",400
"Record Rate",1
"Record Time [s]",1.199999e+01
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","biplaca1delta"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,-3.251717e-01,8.337338e-01,4.462637e-01,5.565335e+01,1.325211e+01,3.374141e-01,2.815833e+01,7.107509e+01,-3.506273e+01,3.116932e-07,
2.999998e-02,-3.299226e-01,8.334758e-01,4.432484e-01,5.579781e+01,1.315566e+01,3.350387e-01,2.800436e+01,7.116596e+01,-3.507389e+01,3.108931e-07,
5.999997e-02,-3.319355e-01,8.340051e-01,4.407430e-01,5.585132e+01,1.307565e+01,3.340322e-01,2.785491e+01,7.086411e+01,-3.507610e+01,3.107350e-07,
8.999995e-02,-3.292186e-01,8.349058e-01,4.410752e-01,5.576011e+01,1.308625e+01,3.353907e-01,2.784720e+01,7.084480e+01,-3.507012e+01,3.111633e-07,
1.199999e-01,-3.289022e-01,8.331533e-01,4.446109e-01,5.577126e+01,1.319922e+01,3.355489e-01,2.808654e+01,7.090376e+01,-3.506864e+01,3.112691e-07,
1.499999e-01,-3.266705e-01,8.328100e-01,4.468937e-01,5.570882e+01,1.327228e+01,3.366648e-01,2.821843e+01,7.108781e+01,-3.506525e+01,3.115125e-07,
1.799999e-01,-3.276088e-01,8.341753e-01,4.436486e-01,5.572081e+01,1.316845e+01,3.361956e-01,2.800588e+01,7.117467e+01,-3.507091e+01,3.111062e-07,
2.099999e-01,-3.321021e-01,8.337212e-01,4.411544e-01,5.585962e+01,1.308878e+01,3.339489e-01,2.788506e+01,7.084627e+01,-3.507736e+01,3.106449e-07,
2.399999e-01,-3.309483e-01,8.346103e-01,4.403395e-01,5.581491e+01,1.306277e+01,3.345258e-01,2.781608e+01,7.087096e+01,-3.507225e+01,3.110105e-07,
2.699999e-01,-3.299664e-01,8.325581e-01,4.449373e-01,5.580991e+01,1.320966e+01,3.350168e-01,2.812102e+01,7.093092e+01,-3.506937e+01,3.112165e-07,
2.999998e-01,-3.253609e-01,8.333764e-01,4.467932e-01,5.566316e+01,1.326906e+01,3.373195e-01,2.819683e+01,7.098360e+01,-3.506193e+01,3.117501e-07,
3.299998e-01,-3.284562e-01,8.340267e-01,4.433013e-01,5.574775e+01,1.315735e+01,3.357719e-01,2.799150e+01,7.130863e+01,-3.507147e+01,3.110661e-07,
3.599998e-01,-3.312968e-01,8.341780e-01,4.408962e-01,5.583034e+01,1.308054e+01,3.343516e-01,2.785823e+01,7.088902e+01,-3.507445e+01,3.108532e-07,
3.899998e-01,-3.300463e-01,8.347870e-01,4.406815e-01,5.578608e+01,1.307369e+01,3.349769e-01,2.782944e+01,7.082178e+01,-3.507129e+01,3.110793e-07,
4.199998e-01,-3.297935e-01,8.325268e-01,4.451240e-01,5.580514e+01,1.321564e+01,3.351032e-01,2.813191e+01,7.090427e+01,-3.506720e+01,3.113726e-07,
4.499998e-01,-3.254167e-01,8.334486e-01,4.466177e-01,5.566398e+01,1.326344e+01,3.372916e-01,2.818539e+01,7.106315e+01,-3.506067e+01,3.118408e-07,
4.799997e-01,-3.299655e-01,8.336307e-01,4.429250e-01,5.579726e+01,1.314533e+01,3.350172e-01,2.798262e+01,7.133734e+01,-3.507452e+01,3.108477e-07,
5.099997e-01,-3.308531e-01,8.344706e-01,4.406758e-01,5.581373e+01,1.307350e+01,3.345735e-01,2.783810e+01,7.086361e+01,-3.507780e+01,3.106135e-07,
5.399997e-01,-3.304293e-01,8.345883e-01,4.407707e-01,5.579977e+01,1.307653e+01,3.347854e-01,2.783986e+01,7.084099e+01,-3.507524e+01,3.107961e-07,
