"Date","September-15-2022"
"Time","20h11m37s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",400
"Record Rate",1
"Record Time [s]",1.199999e+01
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","biplaca1delta"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,9.999998e-01,4.314589e-04,3.872470e-04,1.236039e-02,1.109381e-02,9.999999e-01,4.190890e+01,1.000998e+02,-3.485911e+01,3.266547e-07,
2.999998e-02,9.999993e-01,-1.629184e-04,-1.203112e-03,-4.667272e-03,-3.446663e-02,9.999996e-01,-9.771175e+01,1.000755e+02,-3.485753e+01,3.267735e-07,
5.999997e-02,9.999989e-01,5.859537e-04,-1.333566e-03,1.678635e-02,-3.820387e-02,9.999995e-01,-6.627987e+01,1.000520e+02,-3.485612e+01,3.268799e-07,
8.999995e-02,9.999993e-01,1.016299e-03,6.556007e-04,2.911484e-02,1.878158e-02,9.999996e-01,3.282550e+01,1.000700e+02,-3.485633e+01,3.268638e-07,
1.199999e-01,9.999982e-01,8.112585e-04,1.727388e-03,2.324088e-02,4.948604e-02,9.999991e-01,6.484315e+01,1.000943e+02,-3.485671e+01,3.268350e-07,
1.499999e-01,9.999996e-01,7.373499e-04,5.588957e-04,2.112352e-02,1.601118e-02,9.999998e-01,3.716136e+01,1.000816e+02,-3.486021e+01,3.265718e-07,
1.799999e-01,9.999995e-01,-1.736473e-04,-1.027018e-03,-4.974631e-03,-2.942190e-02,9.999997e-01,-9.959676e+01,1.000657e+02,-3.485997e+01,3.265899e-07,
2.099999e-01,9.999992e-01,3.546879e-04,-1.241343e-03,1.016107e-02,-3.556188e-02,9.999996e-01,-7.405382e+01,1.000875e+02,-3.485638e+01,3.268605e-07,
2.399999e-01,9.999995e-01,7.976697e-04,5.472194e-04,2.285156e-02,1.567668e-02,9.999998e-01,3.445100e+01,1.000885e+02,-3.485603e+01,3.268866e-07,
2.699999e-01,9.999985e-01,3.825826e-04,1.677403e-03,1.096020e-02,4.805409e-02,9.999993e-01,7.715175e+01,1.000702e+02,-3.485969e+01,3.266111e-07,
2.999998e-01,9.999995e-01,1.129317e-04,9.970369e-04,3.235257e-03,2.856301e-02,9.999997e-01,8.353780e+01,1.000574e+02,-3.486094e+01,3.265174e-07,
3.299998e-01,9.999987e-01,-1.572925e-03,-4.341452e-04,-4.506101e-02,-1.243735e-02,9.999993e-01,-1.645699e+02,1.000752e+02,-3.486140e+01,3.264826e-07,
3.599998e-01,9.999990e-01,-2.206156e-04,-1.379660e-03,-6.320178e-03,-3.952435e-02,9.999995e-01,-9.908502e+01,1.000790e+02,-3.485549e+01,3.269273e-07,
3.899998e-01,9.999998e-01,5.730796e-04,-3.909908e-04,1.641752e-02,-1.120106e-02,9.999999e-01,-3.430426e+01,1.000522e+02,-3.485769e+01,3.267617e-07,
4.199998e-01,9.999991e-01,-4.003831e-04,1.274232e-03,-1.147014e-02,3.650407e-02,9.999996e-01,1.074435e+02,1.000845e+02,-3.485507e+01,3.269589e-07,
4.499998e-01,9.999987e-01,4.352732e-04,1.529012e-03,1.246967e-02,4.380298e-02,9.999994e-01,7.410961e+01,1.000703e+02,-3.485711e+01,3.268056e-07,
4.799997e-01,9.999999e-01,4.488635e-04,-7.042989e-05,1.285899e-02,-2.017668e-03,9.999999e-01,-8.917409e+00,1.000815e+02,-3.485899e+01,3.266635e-07,
5.099997e-01,9.999992e-01,-3.846400e-05,-1.252786e-03,-1.101913e-03,-3.588968e-02,9.999996e-01,-9.175859e+01,1.000818e+02,-3.485755e+01,3.267722e-07,
5.399997e-01,9.999987e-01,1.521270e-03,-5.335737e-04,4.358118e-02,-1.528576e-02,9.999994e-01,-1.932793e+01,1.000748e+02,-3.485499e+01,3.269651e-07,
5.699997e-01,9.999980e-01,1.335540e-03,1.483455e-03,3.826047e-02,4.249787e-02,9.999990e-01,4.800359e+01,1.000940e+02,-3.485633e+01,3.268637e-07,
5.999997e-01,9.999965e-01,2.401508e-03,1.066192e-03,6.879824e-02,3.054415e-02,9.999983e-01,2.393967e+01,1.000664e+02,-3.486042e+01,3.265561e-07,
6.299997e-01,9.999984e-01,1.637856e-03,-7.441516e-04,4.692115e-02,-2.131838e-02,9.999992e-01,-2.443444e+01,1.000672e+02,-3.485899e+01,3.266641e-07,
6.599996e-01,9.999985e-01,1.344363e-03,-1.093885e-03,3.851318e-02,-3.133751e-02,9.999992e-01,-3.913467e+01,1.001086e+02,-3.485504e+01,3.269609e-07,
6.899996e-01,9.999979e-01,1.652160e-03,1.230005e-03,4.733096e-02,3.523706e-02,9.999989e-01,3.666706e+01,1.000799e+02,-3.485750e+01,3.267757e-07,
7.199996e-01,9.999967e-01,2.140678e-03,1.445533e-03,6.132602e-02,4.141148e-02,9.999983e-01,3.402992e+01,1.000649e+02,-3.486043e+01,3.265557e-07,
7.499996e-01,9.999988e-01,1.452844e-03,-5.382226e-04,4.162092e-02,-1.541894e-02,9.999994e-01,-2.032773e+01,1.000654e+02,-3.486065e+01,3.265389e-07,
7.799996e-01,9.999989e-01,5.578202e-04,-1.382383e-03,1.598039e-02,-3.960235e-02,9.999994e-01,-6.802489e+01,1.000984e+02,-3.485789e+01,3.267462e-07,
