"Date","September-16-2022"
"Time","16h00m49s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",400
"Record Rate",1
"Record Time [s]",1.199999e+01
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","36"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,6.137104e-02,-2.154811e-03,-9.981127e-01,-1.005449e+00,-4.323966e+01,5.306855e-01,-9.012369e+01,1.003632e+02,-3.455825e+01,3.500864e-07,
2.999998e-02,6.138038e-02,-4.353549e-03,-9.981050e-01,-2.028522e+00,-4.323605e+01,5.306902e-01,-9.024991e+01,1.003006e+02,-3.456314e+01,3.496925e-07,
5.999997e-02,6.127363e-02,-6.019553e-03,-9.981029e-01,-2.805381e+00,-4.323507e+01,5.306368e-01,-9.034555e+01,1.003262e+02,-3.456322e+01,3.496856e-07,
8.999995e-02,6.393704e-02,-8.479721e-03,-9.979179e-01,-3.777413e+00,-4.315102e+01,5.319685e-01,-9.048685e+01,1.003061e+02,-3.454893e+01,3.508381e-07,
1.199999e-01,6.626565e-02,-5.796499e-03,-9.977852e-01,-2.499573e+00,-4.309297e+01,5.331328e-01,-9.033285e+01,1.002581e+02,-3.453772e+01,3.517452e-07,
1.499999e-01,6.299230e-02,-1.608032e-03,-9.980127e-01,-7.311485e-01,-4.319362e+01,5.314962e-01,-9.009232e+01,1.003142e+02,-3.455041e+01,3.507189e-07,
1.799999e-01,6.111686e-02,-3.065293e-03,-9.981259e-01,-1.435621e+00,-4.324583e+01,5.305584e-01,-9.017596e+01,1.003157e+02,-3.456294e+01,3.497083e-07,
2.099999e-01,6.102186e-02,-5.283450e-03,-9.981224e-01,-2.474247e+00,-4.324421e+01,5.305109e-01,-9.030329e+01,1.003275e+02,-3.456286e+01,3.497146e-07,
2.399999e-01,6.471433e-02,-8.225955e-03,-9.978699e-01,-3.622060e+00,-4.312983e+01,5.323572e-01,-9.047231e+01,1.002644e+02,-3.454644e+01,3.510392e-07,
2.699999e-01,6.624280e-02,-4.970285e-03,-9.977912e-01,-2.145469e+00,-4.309555e+01,5.331214e-01,-9.028540e+01,1.002516e+02,-3.453818e+01,3.517078e-07,
2.999998e-01,6.249380e-02,-1.865675e-03,-9.980436e-01,-8.549935e-01,-4.320772e+01,5.312469e-01,-9.010710e+01,1.003347e+02,-3.455259e+01,3.505430e-07,
3.299998e-01,6.016965e-02,-4.006577e-03,-9.981801e-01,-1.904794e+00,-4.327140e+01,5.300848e-01,-9.022998e+01,1.003568e+02,-3.456606e+01,3.494570e-07,
3.599998e-01,6.053791e-02,-6.137609e-03,-9.981470e-01,-2.894563e+00,-4.325575e+01,5.302690e-01,-9.035231e+01,1.003778e+02,-3.456409e+01,3.496161e-07,
3.899998e-01,6.427959e-02,-8.335681e-03,-9.978971e-01,-3.694399e+00,-4.314180e+01,5.321398e-01,-9.047859e+01,1.002993e+02,-3.454444e+01,3.512012e-07,
4.199998e-01,6.593697e-02,-3.897651e-03,-9.978162e-01,-1.691459e+00,-4.310637e+01,5.329685e-01,-9.022381e+01,1.002422e+02,-3.453878e+01,3.516593e-07,
4.499998e-01,6.165915e-02,-1.597787e-03,-9.980960e-01,-7.421929e-01,-4.323188e+01,5.308296e-01,-9.009172e+01,1.003278e+02,-3.455854e+01,3.500625e-07,
4.799997e-01,5.933545e-02,-4.053632e-03,-9.982299e-01,-1.954108e+00,-4.329520e+01,5.296677e-01,-9.023267e+01,1.003766e+02,-3.456872e+01,3.492436e-07,
5.099997e-01,6.152026e-02,-6.737638e-03,-9.980831e-01,-3.125034e+00,-4.322590e+01,5.307601e-01,-9.038677e+01,1.003343e+02,-3.456098e+01,3.498665e-07,
5.399997e-01,6.461788e-02,-8.359656e-03,-9.978751e-01,-3.685724e+00,-4.313208e+01,5.323089e-01,-9.047998e+01,1.002888e+02,-3.454506e+01,3.511507e-07,
5.699997e-01,6.566528e-02,-3.973663e-03,-9.978338e-01,-1.731484e+00,-4.311403e+01,5.328326e-01,-9.022817e+01,1.002737e+02,-3.454030e+01,3.515359e-07,
5.999997e-01,6.231535e-02,-2.252707e-03,-9.980540e-01,-1.035174e+00,-4.321247e+01,5.311577e-01,-9.012932e+01,1.003236e+02,-3.455478e+01,3.503661e-07,
6.299997e-01,6.077264e-02,-4.299420e-03,-9.981424e-01,-2.023352e+00,-4.325356e+01,5.303863e-01,-9.024680e+01,1.003272e+02,-3.456446e+01,3.495858e-07,
6.599996e-01,6.136172e-02,-6.201207e-03,-9.980963e-01,-2.885356e+00,-4.323204e+01,5.306809e-01,-9.035598e+01,1.003418e+02,-3.456123e+01,3.498463e-07,
6.899996e-01,6.472713e-02,-8.407841e-03,-9.978676e-01,-3.700546e+00,-4.312880e+01,5.323636e-01,-9.048275e+01,1.002839e+02,-3.454627e+01,3.510529e-07,
7.199996e-01,6.652991e-02,-4.216279e-03,-9.977755e-01,-1.813112e+00,-4.308882e+01,5.332650e-01,-9.024211e+01,1.002289e+02,-3.453818e+01,3.517081e-07,
7.499996e-01,6.222097e-02,-2.150076e-03,-9.980601e-01,-9.895482e-01,-4.321528e+01,5.311105e-01,-9.012343e+01,1.003283e+02,-3.455567e+01,3.502940e-07,
7.799996e-01,6.077958e-02,-4.205972e-03,-9.981424e-01,-1.979290e+00,-4.325355e+01,5.303898e-01,-9.024143e+01,1.003192e+02,-3.456511e+01,3.495337e-07,
8.099996e-01,6.086529e-02,-5.923722e-03,-9.981284e-01,-2.779406e+00,-4.324701e+01,5.304326e-01,-9.034004e+01,1.003558e+02,-3.456395e+01,3.496268e-07,
8.399996e-01,6.342380e-02,-7.939938e-03,-9.979551e-01,-3.567828e+00,-4.316761e+01,5.317119e-01,-9.045585e+01,1.003217e+02,-3.454998e+01,3.507536e-07,
8.699995e-01,6.727644e-02,-4.681619e-03,-9.977234e-01,-1.990335e+00,-4.306654e+01,5.336382e-01,-9.026885e+01,1.001993e+02,-3.453617e+01,3.518704e-07,
8.999995e-01,6.242421e-02,-1.945948e-03,-9.980478e-01,-8.927508e-01,-4.320964e+01,5.312121e-01,-9.011171e+01,1.003392e+02,-3.455274e+01,3.505306e-07,
9.299995e-01,6.129592e-02,-3.392224e-03,-9.981139e-01,-1.583809e+00,-4.324021e+01,5.306480e-01,-9.019473e+01,1.003152e+02,-3.456101e+01,3.498636e-07,
9.599995e-01,6.042612e-02,-5.591077e-03,-9.981570e-01,-2.643192e+00,-4.326046e+01,5.302131e-01,-9.032093e+01,1.003685e+02,-3.456425e+01,3.496029e-07,
9.899995e-01,6.432963e-02,-7.998572e-03,-9.978966e-01,-3.543813e+00,-4.314160e+01,5.321648e-01,-9.045924e+01,1.002771e+02,-3.454960e+01,3.507840e-07,
1.019999e+00,6.623144e-02,-4.288629e-03,-9.977951e-01,-1.852427e+00,-4.309724e+01,5.331157e-01,-9.024626e+01,1.002345e+02,-3.453876e+01,3.516605e-07,
1.049999e+00,6.277675e-02,-1.796586e-03,-9.980260e-01,-8.196405e-01,-4.319966e+01,5.313884e-01,-9.010314e+01,1.003066e+02,-3.455346e+01,3.504728e-07,
1.079999e+00,6.154946e-02,-3.527807e-03,-9.980978e-01,-1.640206e+00,-4.323272e+01,5.307747e-01,-9.020251e+01,1.003057e+02,-3.456226e+01,3.497634e-07,
1.109999e+00,6.108151e-02,-5.385581e-03,-9.981183e-01,-2.519381e+00,-4.324225e+01,5.305408e-01,-9.030915e+01,1.003395e+02,-3.456479e+01,3.495595e-07,
1.139999e+00,6.361792e-02,-8.360822e-03,-9.979393e-01,-3.743521e+00,-4.316055e+01,5.318090e-01,-9.048002e+01,1.003107e+02,-3.455152e+01,3.506290e-07,
1.169999e+00,6.560981e-02,-4.844962e-03,-9.978336e-01,-2.111673e+00,-4.311394e+01,5.328049e-01,-9.027820e+01,1.002777e+02,-3.454103e+01,3.514769e-07,
1.199999e+00,6.340928e-02,-1.540075e-03,-9.979864e-01,-6.956589e-01,-4.318170e+01,5.317046e-01,-9.008842e+01,1.003001e+02,-3.455299e+01,3.505102e-07,
1.229999e+00,6.023882e-02,-3.693448e-03,-9.981772e-01,-1.754304e+00,-4.326999e+01,5.301194e-01,-9.021200e+01,1.003612e+02,-3.456763e+01,3.493309e-07,
1.259999e+00,6.058160e-02,-5.131421e-03,-9.981501e-01,-2.420774e+00,-4.325718e+01,5.302908e-01,-9.029455e+01,1.003556e+02,-3.456721e+01,3.493646e-07,
1.289999e+00,6.371423e-02,-8.545145e-03,-9.979316e-01,-3.819371e+00,-4.315711e+01,5.318571e-01,-9.049060e+01,1.002933e+02,-3.455239e+01,3.505590e-07,
1.319999e+00,6.667175e-02,-6.357121e-03,-9.977547e-01,-2.723330e+00,-4.307990e+01,5.333359e-01,-9.036505e+01,1.002219e+02,-3.453866e+01,3.516685e-07,
1.349999e+00,6.354567e-02,-2.340981e-03,-9.979762e-01,-1.054893e+00,-4.317709e+01,5.317728e-01,-9.013440e+01,1.003025e+02,-3.454975e+01,3.507722e-07,
1.379999e+00,6.089942e-02,-3.476448e-03,-9.981379e-01,-1.633594e+00,-4.325143e+01,5.304497e-01,-9.019956e+01,1.003379e+02,-3.456399e+01,3.496236e-07,
1.409999e+00,6.077766e-02,-5.557977e-03,-9.981359e-01,-2.612517e+00,-4.325050e+01,5.303888e-01,-9.031904e+01,1.003409e+02,-3.456518e+01,3.495279e-07,
1.439999e+00,6.288636e-02,-7.908857e-03,-9.979894e-01,-3.584064e+00,-4.318303e+01,5.314432e-01,-9.045405e+01,1.003474e+02,-3.455304e+01,3.505066e-07,
1.469999e+00,6.688565e-02,-5.525634e-03,-9.977453e-01,-2.361330e+00,-4.307589e+01,5.334428e-01,-9.031731e+01,1.002222e+02,-3.453770e+01,3.517470e-07,
1.499999e+00,6.449169e-02,-2.361590e-03,-9.979154e-01,-1.048575e+00,-4.314993e+01,5.322458e-01,-9.013559e+01,1.002699e+02,-3.454614e+01,3.510636e-07,
1.529999e+00,6.082214e-02,-3.114088e-03,-9.981438e-01,-1.465490e+00,-4.325421e+01,5.304111e-01,-9.017876e+01,1.003500e+02,-3.456320e+01,3.496874e-07,
1.559999e+00,6.121545e-02,-5.419056e-03,-9.981099e-01,-2.529442e+00,-4.323834e+01,5.306077e-01,-9.031107e+01,1.003150e+02,-3.456365e+01,3.496513e-07,
1.589999e+00,6.262102e-02,-8.208712e-03,-9.980036e-01,-3.734034e+00,-4.318949e+01,5.313105e-01,-9.047125e+01,1.003445e+02,-3.455526e+01,3.503270e-07,
1.619999e+00,6.559660e-02,-6.450086e-03,-9.978254e-01,-2.807909e+00,-4.311036e+01,5.327983e-01,-9.037036e+01,1.002626e+02,-3.453949e+01,3.516017e-07,
1.649999e+00,6.487310e-02,-2.381705e-03,-9.978907e-01,-1.051286e+00,-4.313896e+01,5.324366e-01,-9.013675e+01,1.002521e+02,-3.454509e+01,3.511485e-07,
1.679999e+00,6.109591e-02,-3.152568e-03,-9.981269e-01,-1.476930e+00,-4.324631e+01,5.305480e-01,-9.018097e+01,1.003334e+02,-3.456211e+01,3.497753e-07,
1.709999e+00,6.094766e-02,-5.217153e-03,-9.981273e-01,-2.446311e+00,-4.324650e+01,5.304738e-01,-9.029948e+01,1.003304e+02,-3.456367e+01,3.496500e-07,
1.739999e+00,6.173268e-02,-8.126624e-03,-9.980596e-01,-3.749710e+00,-4.321508e+01,5.308663e-01,-9.046652e+01,1.003534e+02,-3.455888e+01,3.500358e-07,
1.769999e+00,6.559656e-02,-6.357546e-03,-9.978260e-01,-2.767877e+00,-4.311062e+01,5.327983e-01,-9.036505e+01,1.002697e+02,-3.454144e+01,3.514439e-07,
1.799999e+00,6.493661e-02,-2.316896e-03,-9.978867e-01,-1.021705e+00,-4.313721e+01,5.324683e-01,-9.013303e+01,1.002729e+02,-3.454432e+01,3.512106e-07,
1.829999e+00,6.134581e-02,-2.314336e-03,-9.981139e-01,-1.080260e+00,-4.324022e+01,5.306729e-01,-9.013285e+01,1.003232e+02,-3.456005e+01,3.499413e-07,
1.859999e+00,6.193407e-02,-4.557716e-03,-9.980698e-01,-2.104399e+00,-4.321978e+01,5.309670e-01,-9.026164e+01,1.002782e+02,-3.456255e+01,3.497397e-07,
1.889999e+00,6.178134e-02,-7.892955e-03,-9.980585e-01,-3.640229e+00,-4.321455e+01,5.308907e-01,-9.045310e+01,1.003452e+02,-3.455895e+01,3.500296e-07,
1.919999e+00,6.532842e-02,-7.733815e-03,-9.978338e-01,-3.375730e+00,-4.311405e+01,5.326642e-01,-9.044407e+01,1.002653e+02,-3.454213e+01,3.513877e-07,
1.949999e+00,6.603080e-02,-2.630144e-03,-9.978141e-01,-1.140502e+00,-4.310548e+01,5.330154e-01,-9.015103e+01,1.002237e+02,-3.454094e+01,3.514843e-07,
1.979999e+00,6.180379e-02,-2.064791e-03,-9.980862e-01,-9.567360e-01,-4.322733e+01,5.309019e-01,-9.011853e+01,1.003217e+02,-3.455834e+01,3.500790e-07,
2.009999e+00,6.100175e-02,-4.643931e-03,-9.981269e-01,-2.176703e+00,-4.324628e+01,5.305009e-01,-9.026658e+01,1.003307e+02,-3.456493e+01,3.495477e-07,
2.039999e+00,6.065845e-02,-6.988519e-03,-9.981341e-01,-3.286063e+00,-4.324968e+01,5.303292e-01,-9.040115e+01,1.003658e+02,-3.456265e+01,3.497314e-07,
2.069999e+00,6.493075e-02,-7.808750e-03,-9.978592e-01,-3.428807e+00,-4.312513e+01,5.324654e-01,-9.044836e+01,1.002714e+02,-3.454394e+01,3.512414e-07,
2.099999e+00,6.527701e-02,-3.736555e-03,-9.978602e-01,-1.638061e+00,-4.312555e+01,5.326385e-01,-9.021455e+01,1.002750e+02,-3.454097e+01,3.514818e-07,
2.129999e+00,6.261721e-02,-1.768697e-03,-9.980361e-01,-8.089785e-01,-4.320426e+01,5.313086e-01,-9.010154e+01,1.002869e+02,-3.455463e+01,3.503785e-07,
2.159999e+00,6.030336e-02,-4.478651e-03,-9.981700e-01,-2.123742e+00,-4.326662e+01,5.301517e-01,-9.025708e+01,1.003379e+02,-3.456506e+01,3.495376e-07,
2.189999e+00,6.189909e-02,-6.935390e-03,-9.980583e-01,-3.196478e+00,-4.321447e+01,5.309495e-01,-9.039814e+01,1.003224e+02,-3.456046e+01,3.499080e-07,
2.219999e+00,6.587210e-02,-7.680292e-03,-9.977985e-01,-3.325159e+00,-4.309872e+01,5.329361e-01,-9.044101e+01,1.002455e+02,-3.454135e+01,3.514509e-07,
2.249999e+00,6.561429e-02,-2.884101e-03,-9.978409e-01,-1.258419e+00,-4.311712e+01,5.328071e-01,-9.016560e+01,1.002544e+02,-3.454131e+01,3.514547e-07,
2.279999e+00,6.166979e-02,-3.154554e-03,-9.980916e-01,-1.464130e+00,-4.322985e+01,5.308349e-01,-9.018109e+01,1.003477e+02,-3.455881e+01,3.500411e-07,
2.309999e+00,6.065987e-02,-4.084181e-03,-9.981501e-01,-1.925933e+00,-4.325721e+01,5.303299e-01,-9.023444e+01,1.003305e+02,-3.456814e+01,3.492902e-07,
2.339999e+00,6.075133e-02,-6.531601e-03,-9.981316e-01,-3.068255e+00,-4.324848e+01,5.303757e-01,-9.037493e+01,1.003648e+02,-3.456505e+01,3.495381e-07,
2.369999e+00,6.582331e-02,-7.780245e-03,-9.978010e-01,-3.370511e+00,-4.309978e+01,5.329117e-01,-9.044675e+01,1.002290e+02,-3.454422e+01,3.512188e-07,
2.399999e+00,6.682978e-02,-3.344586e-03,-9.977588e-01,-1.432527e+00,-4.308164e+01,5.334149e-01,-9.019206e+01,1.002070e+02,-3.453942e+01,3.516077e-07,
2.429999e+00,6.148765e-02,-2.347757e-03,-9.981051e-01,-1.093319e+00,-4.323611e+01,5.307438e-01,-9.013477e+01,1.003323e+02,-3.455884e+01,3.500387e-07,
2.459999e+00,6.028209e-02,-4.270335e-03,-9.981722e-01,-2.026009e+00,-4.326766e+01,5.301410e-01,-9.024512e+01,1.003506e+02,-3.456657e+01,3.494161e-07,
2.489999e+00,6.113984e-02,-6.399516e-03,-9.981087e-01,-2.987700e+00,-4.323779e+01,5.305699e-01,-9.036735e+01,1.003468e+02,-3.456175e+01,3.498043e-07,
2.519999e+00,6.582087e-02,-7.770329e-03,-9.978012e-01,-3.366379e+00,-4.309988e+01,5.329104e-01,-9.044618e+01,1.002349e+02,-3.454229e+01,3.513747e-07,
2.549999e+00,6.599790e-02,-3.318823e-03,-9.978142e-01,-1.439398e+00,-4.310553e+01,5.329990e-01,-9.019057e+01,1.002337e+02,-3.454245e+01,3.513620e-07,
2.579999e+00,6.138847e-02,-1.753501e-03,-9.981124e-01,-8.180763e-01,-4.323952e+01,5.306942e-01,-9.010066e+01,1.003522e+02,-3.456104e+01,3.498610e-07,
2.609999e+00,6.065683e-02,-4.620597e-03,-9.981480e-01,-2.178076e+00,-4.325620e+01,5.303284e-01,-9.026523e+01,1.003304e+02,-3.456785e+01,3.493132e-07,
2.639999e+00,6.130971e-02,-6.900911e-03,-9.980949e-01,-3.211040e+00,-4.323139e+01,5.306549e-01,-9.039614e+01,1.003443e+02,-3.456242e+01,3.497503e-07,
2.669999e+00,6.508160e-02,-8.073951e-03,-9.978473e-01,-3.535959e+00,-4.311991e+01,5.325408e-01,-9.046359e+01,1.002863e+02,-3.454536e+01,3.511265e-07,
