"Date","September-16-2022"
"Time","17h05m06s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",400
"Record Rate",1
"Record Time [s]",1.199999e+01
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","36"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,-8.438969e-01,4.360366e-01,3.125863e-01,7.633743e+01,9.107581e+00,7.805157e-02,3.563602e+01,6.171143e+01,-3.551051e+01,2.811568e-07,
2.999998e-02,-8.441503e-01,4.377872e-01,3.094394e-01,7.629408e+01,9.012724e+00,7.792487e-02,3.525366e+01,6.189944e+01,-3.551723e+01,2.807224e-07,
5.999997e-02,-8.480136e-01,4.330675e-01,3.054921e-01,7.647365e+01,8.893888e+00,7.599320e-02,3.519970e+01,6.167745e+01,-3.551903e+01,2.806063e-07,
8.999995e-02,-8.473550e-01,4.350241e-01,3.045384e-01,7.641223e+01,8.865198e+00,7.632252e-02,3.499393e+01,6.160356e+01,-3.551519e+01,2.808545e-07,
1.199999e-01,-8.461177e-01,4.340288e-01,3.093604e-01,7.642188e+01,9.010345e+00,7.694114e-02,3.547993e+01,6.169278e+01,-3.551443e+01,2.809035e-07,
1.499999e-01,-8.437625e-01,4.363510e-01,3.125103e-01,7.632715e+01,9.105290e+00,7.811876e-02,3.560987e+01,6.177577e+01,-3.551379e+01,2.809446e-07,
1.799999e-01,-8.448940e-01,4.364939e-01,3.092365e-01,7.633898e+01,9.006613e+00,7.755301e-02,3.531587e+01,6.189063e+01,-3.551943e+01,2.805804e-07,
2.099999e-01,-8.478850e-01,4.337568e-01,3.048706e-01,7.645342e+01,8.875189e+00,7.605751e-02,3.510187e+01,6.166325e+01,-3.551818e+01,2.806608e-07,
2.399999e-01,-8.468429e-01,4.355811e-01,3.051660e-01,7.639029e+01,8.884074e+00,7.657856e-02,3.501490e+01,6.155884e+01,-3.551466e+01,2.808883e-07,
2.699999e-01,-8.457999e-01,4.338936e-01,3.104173e-01,7.642113e+01,9.042192e+00,7.710006e-02,3.558079e+01,6.160965e+01,-3.551256e+01,2.810243e-07,
2.999998e-01,-8.429973e-01,4.375716e-01,3.128685e-01,7.628384e+01,9.116093e+00,7.850137e-02,3.556518e+01,6.166184e+01,-3.551008e+01,2.811848e-07,
3.299998e-01,-8.455144e-01,4.360379e-01,3.081823e-01,7.635976e+01,8.974860e+00,7.724280e-02,3.525185e+01,6.189654e+01,-3.551995e+01,2.805463e-07,
3.599998e-01,-8.481176e-01,4.333753e-01,3.047660e-01,7.646683e+01,8.872044e+00,7.594118e-02,3.511635e+01,6.160270e+01,-3.551720e+01,2.807245e-07,
3.899998e-01,-8.469510e-01,4.351408e-01,3.054937e-01,7.640356e+01,8.893935e+00,7.652448e-02,3.507105e+01,6.170050e+01,-3.551627e+01,2.807844e-07,
4.199998e-01,-8.457679e-01,4.341569e-01,3.101361e-01,7.641364e+01,9.033717e+00,7.711604e-02,3.553978e+01,6.175257e+01,-3.551272e+01,2.810138e-07,
4.499998e-01,-8.428966e-01,4.378403e-01,3.127637e-01,7.627525e+01,9.112932e+00,7.855168e-02,3.553947e+01,6.176656e+01,-3.551152e+01,2.810920e-07,
4.799997e-01,-8.454575e-01,4.362138e-01,3.080896e-01,7.635426e+01,8.972069e+00,7.727127e-02,3.523284e+01,6.186475e+01,-3.551859e+01,2.806343e-07,
5.099997e-01,-8.476472e-01,4.342170e-01,3.048767e-01,7.643784e+01,8.875373e+00,7.617639e-02,3.507384e+01,6.167188e+01,-3.551737e+01,2.807132e-07,
5.399997e-01,-8.469135e-01,4.355475e-01,3.050178e-01,7.639216e+01,8.879619e+00,7.654325e-02,3.500390e+01,6.165112e+01,-3.551351e+01,2.809631e-07,
5.699997e-01,-8.460279e-01,4.332225e-01,3.107331e-01,7.644227e+01,9.051708e+00,7.698605e-02,3.565035e+01,6.164233e+01,-3.551250e+01,2.810286e-07,
5.999997e-01,-8.425863e-01,4.381066e-01,3.132266e-01,7.626381e+01,9.126893e+00,7.870683e-02,3.556307e+01,6.163731e+01,-3.550927e+01,2.812375e-07,
6.299997e-01,-8.457806e-01,4.353147e-01,3.084740e-01,7.638279e+01,8.983645e+00,7.710968e-02,3.532226e+01,6.192782e+01,-3.551884e+01,2.806184e-07,
6.599996e-01,-8.479996e-01,4.334255e-01,3.050231e-01,7.646387e+01,8.879777e+00,7.600021e-02,3.513596e+01,6.163202e+01,-3.551661e+01,2.807626e-07,
6.899996e-01,-8.466087e-01,4.359360e-01,3.053088e-01,7.637757e+01,8.888371e+00,7.669563e-02,3.500556e+01,6.176839e+01,-3.551506e+01,2.808630e-07,
7.199996e-01,-8.456569e-01,4.337491e-01,3.110082e-01,7.642304e+01,9.059999e+00,7.717154e-02,3.564140e+01,6.165129e+01,-3.551155e+01,2.810897e-07,
7.499996e-01,-8.432360e-01,4.370147e-01,3.130034e-01,7.630207e+01,9.120161e+00,7.838198e-02,3.561140e+01,6.164759e+01,-3.550897e+01,2.812570e-07,
7.799996e-01,-8.456255e-01,4.359481e-01,3.080043e-01,7.636369e+01,8.969501e+00,7.718723e-02,3.524182e+01,6.193420e+01,-3.551813e+01,2.806640e-07,
8.099996e-01,-8.482583e-01,4.333110e-01,3.044658e-01,7.647047e+01,8.863015e+00,7.587085e-02,3.509378e+01,6.165181e+01,-3.551533e+01,2.808452e-07,
8.399996e-01,-8.469503e-01,4.348727e-01,3.058773e-01,7.641072e+01,8.905478e+00,7.652486e-02,3.512148e+01,6.170076e+01,-3.551297e+01,2.809979e-07,
8.699995e-01,-8.452651e-01,4.339969e-01,3.117267e-01,7.641100e+01,9.081661e+00,7.736745e-02,3.568853e+01,6.167902e+01,-3.550974e+01,2.812068e-07,
8.999995e-01,-8.432966e-01,4.375531e-01,3.120866e-01,7.628850e+01,9.092513e+00,7.835168e-02,3.549853e+01,6.176571e+01,-3.551030e+01,2.811709e-07,
9.299995e-01,-8.464161e-01,4.347486e-01,3.075280e-01,7.640670e+01,8.955160e+00,7.679195e-02,3.527444e+01,6.190932e+01,-3.551679e+01,2.807510e-07,
9.599995e-01,-8.477617e-01,4.343893e-01,3.043124e-01,7.643480e+01,8.858400e+00,7.611916e-02,3.501325e+01,6.167701e+01,-3.551478e+01,2.808806e-07,
9.899995e-01,-8.455522e-01,4.373573e-01,3.062025e-01,7.632499e+01,8.915263e+00,7.722389e-02,3.499663e+01,6.157235e+01,-3.550839e+01,2.812944e-07,
1.019999e+00,-8.454132e-01,4.342969e-01,3.109063e-01,7.640500e+01,9.056929e+00,7.729340e-02,3.559828e+01,6.171795e+01,-3.551142e+01,2.810981e-07,
1.049999e+00,-8.426480e-01,4.384226e-01,3.126179e-01,7.625621e+01,9.108535e+00,7.867601e-02,3.549083e+01,6.163648e+01,-3.550821e+01,2.813059e-07,
1.079999e+00,-8.451960e-01,4.362733e-01,3.087219e-01,7.634906e+01,8.991113e+00,7.740198e-02,3.528453e+01,6.191214e+01,-3.551828e+01,2.806546e-07,
1.109999e+00,-8.478771e-01,4.338659e-01,3.047374e-01,7.645039e+01,8.871181e+00,7.606147e-02,3.508331e+01,6.167292e+01,-3.551783e+01,2.806836e-07,
1.139999e+00,-8.468390e-01,4.357739e-01,3.049015e-01,7.638508e+01,8.876118e+00,7.658051e-02,3.497964e+01,6.158740e+01,-3.551628e+01,2.807838e-07,
1.169999e+00,-8.460090e-01,4.344475e-01,3.090697e-01,7.640916e+01,9.001588e+00,7.699549e-02,3.542837e+01,6.171672e+01,-3.551544e+01,2.808382e-07,
1.199999e+00,-8.434121e-01,4.364870e-01,3.132654e-01,7.631865e+01,9.128066e+00,7.829397e-02,3.566690e+01,6.164834e+01,-3.551130e+01,2.811062e-07,
1.229999e+00,-8.444789e-01,4.372067e-01,3.093633e-01,7.631416e+01,9.010433e+00,7.776055e-02,3.528286e+01,6.195673e+01,-3.551834e+01,2.806505e-07,
1.259999e+00,-8.484686e-01,4.325478e-01,3.049646e-01,7.649380e+01,8.878018e+00,7.576569e-02,3.518547e+01,6.170136e+01,-3.551946e+01,2.805780e-07,
1.289999e+00,-8.467315e-01,4.361322e-01,3.046873e-01,7.637402e+01,8.869678e+00,7.663423e-02,3.493863e+01,6.167501e+01,-3.551561e+01,2.808268e-07,
1.319999e+00,-8.459811e-01,4.340893e-01,3.096490e-01,7.641838e+01,9.019039e+00,7.700946e-02,3.550141e+01,6.168570e+01,-3.551229e+01,2.810415e-07,
1.349999e+00,-8.431342e-01,4.370132e-01,3.132795e-01,7.630070e+01,9.128491e+00,7.843288e-02,3.563542e+01,6.168636e+01,-3.550961e+01,2.812154e-07,
1.379999e+00,-8.448581e-01,4.371172e-01,3.084529e-01,7.632181e+01,8.983011e+00,7.757093e-02,3.520881e+01,6.197195e+01,-3.551838e+01,2.806478e-07,
1.409999e+00,-8.476695e-01,4.339263e-01,3.052284e-01,7.644593e+01,8.885952e+00,7.616526e-02,3.512296e+01,6.167651e+01,-3.551857e+01,2.806357e-07,
1.439999e+00,-8.468469e-01,4.356322e-01,3.050818e-01,7.638898e+01,8.881541e+00,7.657654e-02,3.500431e+01,6.162405e+01,-3.551426e+01,2.809145e-07,
1.469999e+00,-8.462287e-01,4.337421e-01,3.094589e-01,7.643109e+01,9.013312e+00,7.688567e-02,3.550645e+01,6.172995e+01,-3.551436e+01,2.809081e-07,
1.499999e+00,-8.432624e-01,4.369452e-01,3.130293e-01,7.630430e+01,9.120942e+00,7.836878e-02,3.561796e+01,6.164730e+01,-3.551108e+01,2.811202e-07,
1.529999e+00,-8.443810e-01,4.373198e-01,3.094707e-01,7.630978e+01,9.013667e+00,7.780948e-02,3.528525e+01,6.192016e+01,-3.551929e+01,2.805895e-07,
1.559999e+00,-8.481921e-01,4.329215e-01,3.052034e-01,7.648000e+01,8.885200e+00,7.590394e-02,3.518328e+01,6.174299e+01,-3.552144e+01,2.804501e-07,
1.589999e+00,-8.468957e-01,4.355874e-01,3.050104e-01,7.639085e+01,8.879395e+00,7.655217e-02,3.500078e+01,6.154219e+01,-3.551536e+01,2.808431e-07,
1.619999e+00,-8.463930e-01,4.335793e-01,3.092374e-01,7.643771e+01,9.006640e+00,7.680349e-02,3.549722e+01,6.175729e+01,-3.551574e+01,2.808190e-07,
1.649999e+00,-8.437199e-01,4.359491e-01,3.131852e-01,7.633733e+01,9.125647e+00,7.814003e-02,3.569341e+01,6.164991e+01,-3.551037e+01,2.811661e-07,
1.679999e+00,-8.447501e-01,4.369652e-01,3.089639e-01,7.632438e+01,8.998400e+00,7.762496e-02,3.526289e+01,6.198955e+01,-3.552160e+01,2.804397e-07,
