"Date","August-25-2022"
"Time","18h32m05s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",1024
"Record Rate",1
"Record Time [s]",3.071998e+01
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,9.810243e-01,-1.642688e-01,-1.029902e-01,-4.752887e+00,-2.955694e+00,9.905122e-01,-1.479139e+02,4.883131e+01,-3.801405e+01,1.579773e-07,
2.999998e-02,9.815752e-01,-1.635201e-01,-9.885007e-02,-4.729009e+00,-2.836478e+00,9.907876e-01,-1.488465e+02,4.872248e+01,-3.801760e+01,1.578482e-07,
5.999997e-02,9.827356e-01,-1.621064e-01,-8.917573e-02,-4.683417e+00,-2.558095e+00,9.913678e-01,-1.511845e+02,4.882713e+01,-3.801578e+01,1.579145e-07,
8.999995e-02,9.828396e-01,-1.609475e-01,-9.012287e-02,-4.650038e+00,-2.585338e+00,9.914198e-01,-1.507533e+02,4.877316e+01,-3.801781e+01,1.578408e-07,
1.199999e-01,9.815903e-01,-1.643739e-01,-9.727093e-02,-4.753181e+00,-2.791020e+00,9.907952e-01,-1.493844e+02,4.871320e+01,-3.802591e+01,1.575467e-07,
1.499999e-01,9.811560e-01,-1.642122e-01,-1.018192e-01,-4.750653e+00,-2.921970e+00,9.905780e-01,-1.481992e+02,4.888433e+01,-3.801562e+01,1.579203e-07,
1.799999e-01,9.822932e-01,-1.600874e-01,-9.732451e-02,-4.628147e+00,-2.792562e+00,9.911466e-01,-1.487027e+02,4.870763e+01,-3.802133e+01,1.577130e-07,
2.099999e-01,9.831217e-01,-1.597888e-01,-8.910232e-02,-4.615839e+00,-2.555983e+00,9.915609e-01,-1.508549e+02,4.862681e+01,-3.801964e+01,1.577741e-07,
2.399999e-01,9.834997e-01,-1.567968e-01,-9.023910e-02,-4.529143e+00,-2.588681e+00,9.917499e-01,-1.500789e+02,4.874607e+01,-3.802213e+01,1.576837e-07,
2.699999e-01,9.813677e-01,-1.650925e-01,-9.829546e-02,-4.774641e+00,-2.820512e+00,9.906838e-01,-1.492306e+02,4.881623e+01,-3.802041e+01,1.577462e-07,
2.999998e-01,9.809182e-01,-1.650467e-01,-1.027572e-01,-4.775488e+00,-2.948981e+00,9.904591e-01,-1.480938e+02,4.880544e+01,-3.801729e+01,1.578597e-07,
