"Date","August-25-2022"
"Time","18h15m26s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",1024
"Record Rate",1
"Record Time [s]",3.071998e+01
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,-8.253303e-03,9.999652e-01,-1.183661e-03,4.523644e+01,-3.390940e-02,4.958733e-01,-6.782110e-02,1.040610e+02,-3.774933e+01,1.679064e-07,
2.999998e-02,-3.411331e-03,9.999829e-01,-4.752199e-03,4.509773e+01,-1.361410e-01,4.982943e-01,-2.722836e-01,1.036278e+02,-3.773104e+01,1.686147e-07,
5.999997e-02,-3.931821e-03,9.999769e-01,-5.540162e-03,4.511264e+01,-1.587148e-01,4.980341e-01,-3.174320e-01,1.038184e+02,-3.773219e+01,1.685701e-07,
8.999995e-02,-6.720037e-03,9.999774e-01,-2.591501e-04,4.519252e+01,-7.424103e-03,4.966400e-01,-1.484854e-02,1.040545e+02,-3.774148e+01,1.682099e-07,
1.199999e-01,-5.050634e-03,9.999815e-01,3.391934e-03,4.514469e+01,9.717194e-02,4.974747e-01,1.943464e-01,1.040131e+02,-3.773675e+01,1.683934e-07,
1.499999e-01,-9.572982e-03,9.999538e-01,8.979720e-04,4.527425e+01,2.572501e-02,4.952135e-01,5.145237e-02,1.044571e+02,-3.775344e+01,1.677475e-07,
1.799999e-01,-7.209317e-03,9.999652e-01,-4.195223e-03,4.520654e+01,-1.201847e-01,4.963953e-01,-2.403756e-01,1.038493e+02,-3.774266e+01,1.681643e-07,
2.099999e-01,-6.812132e-03,9.999698e-01,-3.751054e-03,4.519516e+01,-1.074600e-01,4.965939e-01,-2.149250e-01,1.041447e+02,-3.774057e+01,1.682453e-07,
2.399999e-01,-6.709378e-03,9.999765e-01,1.377091e-03,4.519221e+01,3.945078e-02,4.966453e-01,7.890333e-02,1.039081e+02,-3.773500e+01,1.684614e-07,
2.699999e-01,-7.979768e-03,9.999627e-01,3.305216e-03,4.522861e+01,9.468763e-02,4.960101e-01,1.893813e-01,1.045032e+02,-3.774469e+01,1.680860e-07,
2.999998e-01,-7.830403e-03,9.999682e-01,-1.528311e-03,4.522433e+01,-4.378291e-02,4.960848e-01,-8.756850e-02,1.039270e+02,-3.774485e+01,1.680795e-07,
3.299998e-01,-5.675742e-03,9.999680e-01,-5.634268e-03,4.516260e+01,-1.614107e-01,4.971621e-01,-3.228267e-01,1.038665e+02,-3.773414e+01,1.684945e-07,
