"Date","September-16-2022"
"Time","02h33m18s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",400
"Record Rate",1
"Record Time [s]",1.199999e+01
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","17"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,6.123237e-01,-3.009752e-01,7.310770e-01,-1.308774e+01,2.348838e+01,8.061619e-01,1.123763e+02,4.466154e+01,-3.335866e+01,4.614604e-07,
2.999998e-02,6.129074e-01,-2.972173e-01,7.321246e-01,-1.293507e+01,2.353240e+01,8.064537e-01,1.120955e+02,4.477021e+01,-3.335699e+01,4.616370e-07,
5.999997e-02,6.119226e-01,-2.956893e-01,7.335656e-01,-1.289523e+01,2.359308e+01,8.059613e-01,1.119536e+02,4.461504e+01,-3.336171e+01,4.611361e-07,
8.999995e-02,6.139376e-01,-2.986469e-01,7.306782e-01,-1.297019e+01,2.347164e+01,8.069688e-01,1.122311e+02,4.454834e+01,-3.336299e+01,4.610001e-07,
1.199999e-01,6.136349e-01,-3.000531e-01,7.303563e-01,-1.302877e+01,2.345814e+01,8.068175e-01,1.123344e+02,4.451746e+01,-3.336274e+01,4.610264e-07,
1.499999e-01,6.134226e-01,-3.003078e-01,7.304300e-01,-1.304228e+01,2.346123e+01,8.067113e-01,1.123494e+02,4.468041e+01,-3.335807e+01,4.615231e-07,
1.799999e-01,6.127164e-01,-2.978693e-01,7.320195e-01,-1.296325e+01,2.352798e+01,8.063582e-01,1.121421e+02,4.479301e+01,-3.335456e+01,4.618953e-07,
2.099999e-01,6.125493e-01,-2.958001e-01,7.329977e-01,-1.288795e+01,2.356915e+01,8.062747e-01,1.119765e+02,4.465960e+01,-3.336059e+01,4.612544e-07,
2.399999e-01,6.135843e-01,-2.995048e-01,7.306238e-01,-1.300904e+01,2.346936e+01,8.067921e-01,1.122902e+02,4.456348e+01,-3.336513e+01,4.607727e-07,
2.699999e-01,6.143030e-01,-3.000843e-01,7.297816e-01,-1.301765e+01,2.343405e+01,8.071515e-01,1.123523e+02,4.453378e+01,-3.336350e+01,4.609458e-07,
