"Date","September-16-2022"
"Time","01h45m49s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",500
"Record Rate",1
"Record Time [s]",1.499999e+01
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","inputmodoprop"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,8.876091e-01,-3.815647e-03,4.605817e-01,-1.231506e-01,1.371233e+01,9.438045e-01,9.047465e+01,9.997282e+01,-3.316767e+01,4.822060e-07,
2.999998e-02,8.878549e-01,-4.507914e-03,4.601014e-01,-1.454530e-01,1.369683e+01,9.439275e-01,9.056135e+01,9.992574e+01,-3.317628e+01,4.812509e-07,
5.999997e-02,8.877919e-01,-5.244003e-03,4.602151e-01,-1.692152e-01,1.370049e+01,9.438960e-01,9.065284e+01,9.988982e+01,-3.317506e+01,4.813869e-07,
8.999995e-02,8.877695e-01,-6.088644e-03,4.602480e-01,-1.964745e-01,1.370155e+01,9.438848e-01,9.075792e+01,9.996671e+01,-3.316927e+01,4.820283e-07,
1.199999e-01,8.875940e-01,-4.876087e-03,4.606009e-01,-1.573785e-01,1.371294e+01,9.437970e-01,9.060653e+01,1.000182e+02,-3.316471e+01,4.825347e-07,
1.499999e-01,8.875615e-01,-3.716407e-03,4.606742e-01,-1.199540e-01,1.371531e+01,9.437808e-01,9.046221e+01,9.996136e+01,-3.316951e+01,4.820020e-07,
1.799999e-01,8.878219e-01,-3.970028e-03,4.601701e-01,-1.281025e-01,1.369904e+01,9.439109e-01,9.049430e+01,9.992438e+01,-3.317267e+01,4.816511e-07,
2.099999e-01,8.877860e-01,-4.735322e-03,4.602321e-01,-1.528022e-01,1.370104e+01,9.438930e-01,9.058949e+01,9.989688e+01,-3.317424e+01,4.814770e-07,
2.399999e-01,8.877506e-01,-6.035386e-03,4.602851e-01,-1.947601e-01,1.370275e+01,9.438753e-01,9.075124e+01,9.997923e+01,-3.316871e+01,4.820910e-07,
2.699999e-01,8.874904e-01,-5.088811e-03,4.607981e-01,-1.642633e-01,1.371931e+01,9.437452e-01,9.063272e+01,9.999186e+01,-3.316303e+01,4.827217e-07,
2.999998e-01,8.875118e-01,-4.074232e-03,4.607669e-01,-1.315107e-01,1.371830e+01,9.437559e-01,9.050661e+01,9.996374e+01,-3.316791e+01,4.821794e-07,
3.299998e-01,8.876966e-01,-4.151908e-03,4.604101e-01,-1.339901e-01,1.370679e+01,9.438483e-01,9.051667e+01,9.990507e+01,-3.317282e+01,4.816345e-07,
3.599998e-01,8.880823e-01,-5.124602e-03,4.596559e-01,-1.653083e-01,1.368245e+01,9.440412e-01,9.063875e+01,9.994323e+01,-3.317141e+01,4.817912e-07,
3.899998e-01,8.876811e-01,-5.936496e-03,4.604205e-01,-1.915841e-01,1.370712e+01,9.438406e-01,9.073871e+01,9.994910e+01,-3.316932e+01,4.820229e-07,
4.199998e-01,8.874657e-01,-5.309152e-03,4.608431e-01,-1.713804e-01,1.372076e+01,9.437329e-01,9.066005e+01,1.000035e+02,-3.316251e+01,4.827799e-07,
4.499998e-01,8.874158e-01,-3.677712e-03,4.609552e-01,-1.187246e-01,1.372438e+01,9.437079e-01,9.045712e+01,9.994344e+01,-3.316793e+01,4.821775e-07,
4.799997e-01,8.878872e-01,-4.132688e-03,4.600427e-01,-1.333412e-01,1.369493e+01,9.439436e-01,9.051469e+01,9.995658e+01,-3.317144e+01,4.817880e-07,
5.099997e-01,8.879575e-01,-4.932494e-03,4.598990e-01,-1.591338e-01,1.369030e+01,9.439788e-01,9.061448e+01,9.991248e+01,-3.317210e+01,4.817152e-07,
5.399997e-01,8.876323e-01,-5.465701e-03,4.605203e-01,-1.764005e-01,1.371034e+01,9.438162e-01,9.067999e+01,9.993301e+01,-3.317001e+01,4.819469e-07,
5.699997e-01,8.875554e-01,-5.262498e-03,4.606710e-01,-1.698572e-01,1.371521e+01,9.437777e-01,9.065449e+01,9.999440e+01,-3.316345e+01,4.826751e-07,
5.999997e-01,8.875400e-01,-3.683940e-03,4.607159e-01,-1.189090e-01,1.371666e+01,9.437700e-01,9.045813e+01,9.998254e+01,-3.316582e+01,4.824121e-07,
