"Date","September-13-2022"
"Time","02h14m53s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","biplaca1actopt"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,-5.269908e-01,-8.498710e-01,-2.605299e-05,-6.090118e+01,-7.463631e-04,2.365046e-01,-1.799982e+02,1.009861e+02,-2.378120e+01,4.186776e-06,
2.999998e-02,-5.260104e-01,-8.504780e-01,-4.351868e-04,-6.086814e+01,-1.246718e-02,2.369948e-01,-1.799707e+02,1.008857e+02,-2.377941e+01,4.188505e-06,
5.999997e-02,-5.269655e-01,-8.498863e-01,-7.416666e-04,-6.090033e+01,-2.124718e-02,2.365172e-01,-1.799500e+02,1.009373e+02,-2.378270e+01,4.185335e-06,
8.999995e-02,-5.261300e-01,-8.504041e-01,-2.999836e-04,-6.087217e+01,-8.593898e-03,2.369350e-01,-1.799798e+02,1.009560e+02,-2.378197e+01,4.186040e-06,
1.199999e-01,-5.266257e-01,-8.500973e-01,-4.457062e-05,-6.088887e+01,-1.276854e-03,2.366872e-01,-1.799970e+02,1.008476e+02,-2.378362e+01,4.184447e-06,
1.499999e-01,-5.263278e-01,-8.502817e-01,-1.472836e-04,-6.087884e+01,-4.219365e-03,2.368361e-01,-1.799901e+02,1.009714e+02,-2.378577e+01,4.182376e-06,
1.799999e-01,-5.265526e-01,-8.501423e-01,-6.488425e-04,-6.088641e+01,-1.858797e-02,2.367237e-01,-1.799563e+02,1.008709e+02,-2.378531e+01,4.182816e-06,
2.099999e-01,-5.270306e-01,-8.498460e-01,-6.742088e-04,-6.090253e+01,-1.931466e-02,2.364847e-01,-1.799545e+02,1.009953e+02,-2.378829e+01,4.179953e-06,
2.399999e-01,-5.264313e-01,-8.502176e-01,-2.074372e-04,-6.088232e+01,-5.942638e-03,2.367844e-01,-1.799860e+02,1.009252e+02,-2.378699e+01,4.181204e-06,
2.699999e-01,-5.273131e-01,-8.496711e-01,-1.072607e-04,-6.091204e+01,-3.072794e-03,2.363435e-01,-1.799928e+02,1.008990e+02,-2.378931e+01,4.178964e-06,
2.999998e-01,-5.267400e-01,-8.500264e-01,-2.113496e-04,-6.089273e+01,-6.054721e-03,2.366300e-01,-1.799858e+02,1.010192e+02,-2.379118e+01,4.177165e-06,
3.299998e-01,-5.263428e-01,-8.502723e-01,-5.056738e-04,-6.087934e+01,-1.448649e-02,2.368286e-01,-1.799659e+02,1.008626e+02,-2.379019e+01,4.178124e-06,
3.599998e-01,-5.268434e-01,-8.499622e-01,-6.212532e-04,-6.089621e+01,-1.779759e-02,2.365783e-01,-1.799581e+02,1.009681e+02,-2.379270e+01,4.175709e-06,
3.899998e-01,-5.262269e-01,-8.503441e-01,-3.369443e-04,-6.087544e+01,-9.652742e-03,2.368865e-01,-1.799773e+02,1.009232e+02,-2.379159e+01,4.176776e-06,
4.199998e-01,-5.271277e-01,-8.497861e-01,-1.612900e-05,-6.090580e+01,-4.620617e-04,2.364361e-01,-1.799989e+02,1.008890e+02,-2.379429e+01,4.174176e-06,
4.499998e-01,-5.270257e-01,-8.498494e-01,-6.376291e-05,-6.090236e+01,-1.826673e-03,2.364872e-01,-1.799957e+02,1.010334e+02,-2.379658e+01,4.171979e-06,
4.799997e-01,-5.265981e-01,-8.501142e-01,-5.135329e-04,-6.088795e+01,-1.471163e-02,2.367009e-01,-1.799654e+02,1.008877e+02,-2.379467e+01,4.173817e-06,
5.099997e-01,-5.272407e-01,-8.497158e-01,-6.377636e-04,-6.090961e+01,-1.827058e-02,2.363797e-01,-1.799570e+02,1.009845e+02,-2.379711e+01,4.171469e-06,
5.399997e-01,-5.264110e-01,-8.502302e-01,-3.444840e-04,-6.088164e+01,-9.868739e-03,2.367945e-01,-1.799768e+02,1.009752e+02,-2.379561e+01,4.172914e-06,
