"Date","September-09-2022"
"Time","01h50m28s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",1024
"Record Rate",1
"Record Time [s]",3.071998e+01
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","13"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,6.322054e-01,3.279749e-01,7.019607e-01,1.370967e+01,2.229226e+01,8.161027e-01,6.495675e+01,4.652334e+01,-3.657759e+01,2.199082e-07,
2.999998e-02,6.314451e-01,3.279987e-01,7.026336e-01,1.372461e+01,2.231934e+01,8.157226e-01,6.497621e+01,4.667387e+01,-3.657361e+01,2.201094e-07,
5.999997e-02,6.307428e-01,3.234444e-01,7.053703e-01,1.357436e+01,2.242974e+01,8.153714e-01,6.536639e+01,4.691628e+01,-3.656748e+01,2.204207e-07,
8.999995e-02,6.274981e-01,3.292010e-01,7.056010e-01,1.384131e+01,2.243906e+01,8.137491e-01,6.498840e+01,4.711562e+01,-3.656745e+01,2.204223e-07,
1.199999e-01,6.301539e-01,3.298213e-01,7.029395e-01,1.381373e+01,2.233166e+01,8.150769e-01,6.486390e+01,4.692742e+01,-3.656948e+01,2.203189e-07,
1.499999e-01,6.322221e-01,3.264301e-01,7.026654e-01,1.365415e+01,2.232062e+01,8.161111e-01,6.508231e+01,4.656195e+01,-3.657431e+01,2.200742e-07,
1.799999e-01,6.315792e-01,3.294240e-01,7.018458e-01,1.377300e+01,2.228764e+01,8.157896e-01,6.485614e+01,4.664714e+01,-3.657227e+01,2.201774e-07,
2.099999e-01,6.304166e-01,3.237289e-01,7.055313e-01,1.359061e+01,2.243624e+01,8.152083e-01,6.535226e+01,4.679908e+01,-3.656705e+01,2.204423e-07,
2.399999e-01,6.300093e-01,3.266130e-01,7.045652e-01,1.370169e+01,2.239721e+01,8.150047e-01,6.512913e+01,4.712981e+01,-3.656243e+01,2.206771e-07,
2.699999e-01,6.280184e-01,3.310660e-01,7.042642e-01,1.389820e+01,2.238507e+01,8.140092e-01,6.482236e+01,4.692558e+01,-3.657278e+01,2.201519e-07,
2.999998e-01,6.321789e-01,3.275380e-01,7.021885e-01,1.369455e+01,2.230143e+01,8.160895e-01,6.499316e+01,4.662866e+01,-3.657683e+01,2.199464e-07,
3.299998e-01,6.320663e-01,3.285299e-01,7.018264e-01,1.373206e+01,2.228686e+01,8.160332e-01,6.491537e+01,4.663515e+01,-3.657425e+01,2.200772e-07,
3.599998e-01,6.283189e-01,3.250446e-01,7.067966e-01,1.367681e+01,2.248743e+01,8.141595e-01,6.530305e+01,4.678263e+01,-3.657354e+01,2.201133e-07,
3.899998e-01,6.311821e-01,3.260210e-01,7.037894e-01,1.365873e+01,2.236591e+01,8.155910e-01,6.514470e+01,4.717080e+01,-3.655899e+01,2.208520e-07,
4.199998e-01,6.269474e-01,3.322608e-01,7.046558e-01,1.396103e+01,2.240087e+01,8.134737e-01,6.475509e+01,4.693858e+01,-3.657534e+01,2.200218e-07,
4.499998e-01,6.321515e-01,3.272676e-01,7.023392e-01,1.368540e+01,2.230749e+01,8.160757e-01,6.501598e+01,4.657713e+01,-3.657655e+01,2.199606e-07,
4.799997e-01,6.322787e-01,3.278705e-01,7.019434e-01,1.370458e+01,2.229157e+01,8.161394e-01,6.496321e+01,4.663708e+01,-3.657248e+01,2.201668e-07,
