"Date","September-08-2022"
"Time","02h22m18s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",1024
"Record Rate",1
"Record Time [s]",3.071998e+01
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","inputHdiodo"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,9.999988e-01,1.275937e-03,8.737565e-04,3.655292e-02,2.503128e-02,9.999994e-01,3.440319e+01,1.000564e+02,-3.338298e+01,4.588825e-07,
2.999998e-02,9.999958e-01,1.273310e-03,2.595287e-03,3.647779e-02,7.434959e-02,9.999979e-01,6.386632e+01,1.000508e+02,-3.338578e+01,4.585869e-07,
5.999997e-02,9.999950e-01,1.572524e-03,2.749020e-03,4.504967e-02,7.875373e-02,9.999975e-01,6.022912e+01,1.000339e+02,-3.338606e+01,4.585575e-07,
8.999995e-02,9.999979e-01,1.438537e-03,1.457571e-03,4.121111e-02,4.175634e-02,9.999990e-01,4.537655e+01,1.000667e+02,-3.338619e+01,4.585435e-07,
1.199999e-01,9.999991e-01,1.334350e-03,2.711600e-04,3.822632e-02,7.768162e-03,9.999995e-01,1.148695e+01,1.000595e+02,-3.338230e+01,4.589550e-07,
1.499999e-01,9.999980e-01,1.706758e-03,1.011980e-03,4.889507e-02,2.899109e-02,9.999990e-01,3.066476e+01,1.000484e+02,-3.338469e+01,4.587026e-07,
1.799999e-01,9.999962e-01,1.094974e-03,2.544992e-03,3.136881e-02,7.290873e-02,9.999981e-01,6.672037e+01,1.000450e+02,-3.338251e+01,4.589325e-07,
2.099999e-01,9.999962e-01,7.471225e-04,2.655282e-03,2.140356e-02,7.606831e-02,9.999981e-01,7.428487e+01,1.000710e+02,-3.338616e+01,4.585476e-07,
2.399999e-01,9.999982e-01,1.115004e-03,1.522428e-03,3.194254e-02,4.361437e-02,9.999991e-01,5.378151e+01,1.000591e+02,-3.338550e+01,4.586169e-07,
2.699999e-01,9.999998e-01,5.773711e-04,3.305552e-04,1.654047e-02,9.469708e-03,9.999999e-01,2.979190e+01,1.000627e+02,-3.338313e+01,4.588675e-07,
2.999998e-01,9.999988e-01,1.269976e-03,9.139314e-04,3.638216e-02,2.618221e-02,9.999994e-01,3.574047e+01,1.000582e+02,-3.338353e+01,4.588253e-07,
3.299998e-01,9.999959e-01,1.298106e-03,2.535745e-03,3.718813e-02,7.264382e-02,9.999980e-01,6.289105e+01,1.000324e+02,-3.338405e+01,4.587703e-07,
3.599998e-01,9.999935e-01,2.329975e-03,2.736803e-03,6.674919e-02,7.840373e-02,9.999968e-01,4.959061e+01,1.000571e+02,-3.338534e+01,4.586340e-07,
3.899998e-01,9.999985e-01,1.330534e-03,1.103928e-03,3.811703e-02,3.162522e-02,9.999993e-01,3.968209e+01,1.000409e+02,-3.338790e+01,4.583635e-07,
4.199998e-01,9.999990e-01,1.386563e-03,2.797488e-04,3.972213e-02,8.014214e-03,9.999995e-01,1.140670e+01,1.000884e+02,-3.338087e+01,4.591058e-07,
4.499998e-01,9.999990e-01,9.605091e-04,1.078129e-03,2.751658e-02,3.088613e-02,9.999995e-01,4.830204e+01,1.000688e+02,-3.338292e+01,4.588890e-07,
4.799997e-01,9.999960e-01,1.197732e-03,2.576016e-03,3.431262e-02,7.379749e-02,9.999980e-01,6.506368e+01,1.000652e+02,-3.338245e+01,4.589392e-07,
5.099997e-01,9.999959e-01,1.232779e-03,2.581479e-03,3.531665e-02,7.395401e-02,9.999980e-01,6.447330e+01,1.000687e+02,-3.338371e+01,4.588060e-07,
5.399997e-01,9.999990e-01,8.062523e-04,1.165694e-03,2.309745e-02,3.339469e-02,9.999995e-01,5.533033e+01,1.000631e+02,-3.338520e+01,4.586486e-07,
5.699997e-01,9.999990e-01,1.379649e-03,2.703437e-04,3.952405e-02,7.744777e-03,9.999995e-01,1.108670e+01,1.000432e+02,-3.338110e+01,4.590813e-07,
5.999997e-01,9.999987e-01,1.339356e-03,9.131802e-04,3.836975e-02,2.616069e-02,9.999993e-01,3.428638e+01,1.000674e+02,-3.338233e+01,4.589519e-07,
