"Date","September-02-2022"
"Time","02h15m37s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","lineal"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,-5.484718e-01,-8.361289e-01,-8.191139e-03,-6.163175e+01,-2.346615e-01,2.257641e-01,-1.794387e+02,1.003597e+02,-2.325110e+01,4.730318e-06,
2.999998e-02,-5.476998e-01,-8.366319e-01,-8.488796e-03,-6.160535e+01,-2.431890e-01,2.261501e-01,-1.794187e+02,1.004399e+02,-2.324937e+01,4.732201e-06,
5.999997e-02,-5.478965e-01,-8.364981e-01,-8.966013e-03,-6.161217e+01,-2.568608e-01,2.260517e-01,-1.793859e+02,1.003357e+02,-2.324911e+01,4.732483e-06,
8.999995e-02,-5.480678e-01,-8.363872e-01,-8.843658e-03,-6.161801e+01,-2.533554e-01,2.259661e-01,-1.793942e+02,1.004600e+02,-2.325202e+01,4.729311e-06,
1.199999e-01,-5.475390e-01,-8.367376e-01,-8.436250e-03,-6.159984e+01,-2.416836e-01,2.262305e-01,-1.794223e+02,1.003409e+02,-2.325120e+01,4.730203e-06,
1.499999e-01,-5.483495e-01,-8.362081e-01,-8.298066e-03,-6.162757e+01,-2.377248e-01,2.258252e-01,-1.794314e+02,1.003903e+02,-2.325385e+01,4.727315e-06,
1.799999e-01,-5.477124e-01,-8.366232e-01,-8.529891e-03,-6.160579e+01,-2.443663e-01,2.261438e-01,-1.794159e+02,1.004367e+02,-2.325354e+01,4.727659e-06,
2.099999e-01,-5.481315e-01,-8.363428e-01,-9.093006e-03,-6.162024e+01,-2.604990e-01,2.259343e-01,-1.793771e+02,1.003638e+02,-2.325342e+01,4.727791e-06,
2.399999e-01,-5.482338e-01,-8.362788e-01,-8.801755e-03,-6.162369e+01,-2.521550e-01,2.258831e-01,-1.793970e+02,1.004934e+02,-2.325735e+01,4.723509e-06,
2.699999e-01,-5.477906e-01,-8.365732e-01,-8.405718e-03,-6.160845e+01,-2.408089e-01,2.261047e-01,-1.794243e+02,1.003476e+02,-2.325354e+01,4.727661e-06,
2.999998e-01,-5.486336e-01,-8.360217e-01,-8.297213e-03,-6.163731e+01,-2.377004e-01,2.256832e-01,-1.794314e+02,1.004142e+02,-2.325645e+01,4.724495e-06,
3.299998e-01,-5.479127e-01,-8.364925e-01,-8.481809e-03,-6.161264e+01,-2.429888e-01,2.260437e-01,-1.794191e+02,1.004539e+02,-2.325509e+01,4.725974e-06,
3.599998e-01,-5.482789e-01,-8.362498e-01,-8.751408e-03,-6.162523e+01,-2.507126e-01,2.258605e-01,-1.794004e+02,1.003274e+02,-2.325375e+01,4.727426e-06,
3.899998e-01,-5.483996e-01,-8.361698e-01,-8.823849e-03,-6.162938e+01,-2.527879e-01,2.258002e-01,-1.793954e+02,1.004907e+02,-2.325250e+01,4.728793e-06,
4.199998e-01,-5.476516e-01,-8.366628e-01,-8.552178e-03,-6.160371e+01,-2.450048e-01,2.261742e-01,-1.794144e+02,1.003639e+02,-2.325074e+01,4.730710e-06,
4.499998e-01,-5.484880e-01,-8.361162e-01,-8.400646e-03,-6.163234e+01,-2.406636e-01,2.257560e-01,-1.794244e+02,1.003993e+02,-2.325533e+01,4.725710e-06,
4.799997e-01,-5.480640e-01,-8.363931e-01,-8.509061e-03,-6.161783e+01,-2.437696e-01,2.259680e-01,-1.794171e+02,1.004797e+02,-2.325666e+01,4.724263e-06,
5.099997e-01,-5.480423e-01,-8.364035e-01,-8.880762e-03,-6.161715e+01,-2.544184e-01,2.259788e-01,-1.793917e+02,1.003356e+02,-2.325523e+01,4.725814e-06,
5.399997e-01,-5.484084e-01,-8.361632e-01,-8.905624e-03,-6.162969e+01,-2.551307e-01,2.257958e-01,-1.793898e+02,1.004825e+02,-2.325707e+01,4.723820e-06,
5.699997e-01,-5.476280e-01,-8.366785e-01,-8.526142e-03,-6.160290e+01,-2.442589e-01,2.261860e-01,-1.794161e+02,1.003884e+02,-2.325469e+01,4.726407e-06,
