"Date","September-02-2022"
"Time","02h14m53s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","maximoelip"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,2.909000e-01,4.664192e-01,8.353624e-01,2.902435e+01,2.832680e+01,6.454500e-01,6.082348e+01,9.943427e+01,-2.324975e+01,4.731788e-06,
2.999998e-02,2.906714e-01,4.668782e-01,8.351856e-01,2.904711e+01,2.831758e+01,6.453357e-01,6.079432e+01,9.947689e+01,-2.324827e+01,4.733398e-06,
5.999997e-02,2.906499e-01,4.665719e-01,8.353642e-01,2.903963e+01,2.832689e+01,6.453249e-01,6.081554e+01,9.945312e+01,-2.324998e+01,4.731535e-06,
8.999995e-02,2.905738e-01,4.670728e-01,8.351107e-01,2.905678e+01,2.831368e+01,6.452869e-01,6.078196e+01,9.947124e+01,-2.325047e+01,4.731005e-06,
1.199999e-01,2.901112e-01,4.669133e-01,8.353607e-01,2.907286e+01,2.832671e+01,6.450556e-01,6.079759e+01,9.946481e+01,-2.325638e+01,4.724571e-06,
1.499999e-01,2.908575e-01,4.663788e-01,8.353998e-01,2.902512e+01,2.832874e+01,6.454288e-01,6.082668e+01,9.943969e+01,-2.325072e+01,4.730729e-06,
1.799999e-01,2.905776e-01,4.669685e-01,8.351677e-01,2.905374e+01,2.831665e+01,6.452888e-01,6.078907e+01,9.948041e+01,-2.325027e+01,4.731217e-06,
2.099999e-01,2.905434e-01,4.666029e-01,8.353839e-01,2.904519e+01,2.832792e+01,6.452717e-01,6.081450e+01,9.945813e+01,-2.325164e+01,4.729728e-06,
2.399999e-01,2.906109e-01,4.669825e-01,8.351483e-01,2.905266e+01,2.831564e+01,6.453055e-01,6.078777e+01,9.946985e+01,-2.325197e+01,4.729364e-06,
2.699999e-01,2.900321e-01,4.669170e-01,8.353861e-01,2.907647e+01,2.832803e+01,6.450160e-01,6.079815e+01,9.946236e+01,-2.325618e+01,4.724786e-06,
2.999998e-01,2.907546e-01,4.663112e-01,8.354733e-01,2.902781e+01,2.833258e+01,6.453773e-01,6.083236e+01,9.943291e+01,-2.325314e+01,4.728091e-06,
3.299998e-01,2.906598e-01,4.669543e-01,8.351470e-01,2.904972e+01,2.831558e+01,6.453299e-01,6.078921e+01,9.947681e+01,-2.325372e+01,4.727466e-06,
3.599998e-01,2.904744e-01,4.667068e-01,8.353499e-01,2.905111e+01,2.832614e+01,6.452372e-01,6.080807e+01,9.946754e+01,-2.325483e+01,4.726251e-06,
3.899998e-01,2.908186e-01,4.668296e-01,8.351615e-01,2.903926e+01,2.831633e+01,6.454093e-01,6.079615e+01,9.946181e+01,-2.325346e+01,4.727746e-06,
4.199998e-01,2.900502e-01,4.670286e-01,8.353174e-01,2.907874e+01,2.832445e+01,6.450251e-01,6.079031e+01,9.947179e+01,-2.325750e+01,4.723345e-06,
4.499998e-01,2.905729e-01,4.662677e-01,8.355608e-01,2.903465e+01,2.833714e+01,6.452864e-01,6.083719e+01,9.942715e+01,-2.325576e+01,4.725238e-06,
4.799997e-01,2.904867e-01,4.669983e-01,8.351827e-01,2.905859e+01,2.831743e+01,6.452433e-01,6.078795e+01,9.949023e+01,-2.325861e+01,4.722139e-06,
5.099997e-01,2.902516e-01,4.667988e-01,8.353759e-01,2.906350e+01,2.832750e+01,6.451258e-01,6.080403e+01,9.947851e+01,-2.325527e+01,4.725774e-06,
5.399997e-01,2.904991e-01,4.671427e-01,8.350976e-01,2.906201e+01,2.831300e+01,6.452495e-01,6.077792e+01,9.948463e+01,-2.325309e+01,4.728144e-06,
5.699997e-01,2.900406e-01,4.670084e-01,8.353320e-01,2.907860e+01,2.832521e+01,6.450203e-01,6.079179e+01,9.947151e+01,-2.325284e+01,4.728421e-06,
5.999997e-01,2.906804e-01,4.664262e-01,8.354349e-01,2.903426e+01,2.833058e+01,6.453402e-01,6.082523e+01,9.943394e+01,-2.325162e+01,4.729752e-06,
6.299997e-01,2.903763e-01,4.670338e-01,8.352012e-01,2.906445e+01,2.831840e+01,6.451881e-01,6.078664e+01,9.948724e+01,-2.325273e+01,4.728536e-06,
6.599996e-01,2.904113e-01,4.667605e-01,8.353418e-01,2.905538e+01,2.832572e+01,6.452057e-01,6.080503e+01,9.947580e+01,-2.325164e+01,4.729731e-06,
6.899996e-01,2.903900e-01,4.671970e-01,8.351051e-01,2.906833e+01,2.831339e+01,6.451950e-01,6.077530e+01,9.948647e+01,-2.325180e+01,4.729547e-06,
7.199996e-01,2.899422e-01,4.667799e-01,8.354939e-01,2.907667e+01,2.833365e+01,6.449711e-01,6.080846e+01,9.945800e+01,-2.325596e+01,4.725020e-06,
7.499996e-01,2.908354e-01,4.664577e-01,8.353634e-01,2.902827e+01,2.832685e+01,6.454177e-01,6.082149e+01,9.944601e+01,-2.325155e+01,4.729829e-06,
7.799996e-01,2.903832e-01,4.668620e-01,8.352949e-01,2.905941e+01,2.832328e+01,6.451916e-01,6.079836e+01,9.946935e+01,-2.325332e+01,4.727900e-06,
8.099996e-01,2.905763e-01,4.666131e-01,8.353668e-01,2.904402e+01,2.832702e+01,6.452881e-01,6.081347e+01,9.946379e+01,-2.325383e+01,4.727346e-06,
8.399996e-01,2.904325e-01,4.672350e-01,8.350691e-01,2.906749e+01,2.831152e+01,6.452162e-01,6.077226e+01,9.948430e+01,-2.325230e+01,4.729013e-06,
8.699995e-01,2.901870e-01,4.667576e-01,8.354214e-01,2.906523e+01,2.832987e+01,6.450935e-01,6.080751e+01,9.945766e+01,-2.324883e+01,4.732787e-06,
8.999995e-01,2.909469e-01,4.662572e-01,8.354365e-01,2.901781e+01,2.833066e+01,6.454735e-01,6.083411e+01,9.943098e+01,-2.324617e+01,4.735685e-06,
9.299995e-01,2.904015e-01,4.669349e-01,8.352477e-01,2.906061e+01,2.832082e+01,6.452008e-01,6.079317e+01,9.947633e+01,-2.324848e+01,4.733167e-06,
9.599995e-01,2.905043e-01,4.665635e-01,8.354195e-01,2.904584e+01,2.832977e+01,6.452522e-01,6.081760e+01,9.945141e+01,-2.325153e+01,4.729850e-06,
9.899995e-01,2.904728e-01,4.671377e-01,8.351095e-01,2.906303e+01,2.831362e+01,6.452364e-01,6.077853e+01,9.947556e+01,-2.325384e+01,4.727330e-06,
1.019999e+00,2.899853e-01,4.669476e-01,8.353852e-01,2.907938e+01,2.832799e+01,6.449927e-01,6.079652e+01,9.946444e+01,-2.325668e+01,4.724236e-06,
1.049999e+00,2.907048e-01,4.664380e-01,8.354199e-01,2.903351e+01,2.832979e+01,6.453524e-01,6.082417e+01,9.944450e+01,-2.325289e+01,4.728366e-06,
1.079999e+00,2.903049e-01,4.669985e-01,8.352457e-01,2.906663e+01,2.832072e+01,6.451525e-01,6.078978e+01,9.948014e+01,-2.325446e+01,4.726657e-06,
1.109999e+00,2.903456e-01,4.666821e-01,8.354084e-01,2.905613e+01,2.832920e+01,6.451728e-01,6.081107e+01,9.946577e+01,-2.325705e+01,4.723837e-06,
1.139999e+00,2.903180e-01,4.672882e-01,8.350791e-01,2.907402e+01,2.831204e+01,6.451590e-01,6.076978e+01,9.949553e+01,-2.325549e+01,4.725530e-06,
1.169999e+00,2.900079e-01,4.668294e-01,8.354434e-01,2.907513e+01,2.833102e+01,6.450039e-01,6.080440e+01,9.945830e+01,-2.325507e+01,4.725988e-06,
1.199999e+00,2.907591e-01,4.664008e-01,8.354217e-01,2.903008e+01,2.832989e+01,6.453796e-01,6.082617e+01,9.943575e+01,-2.325119e+01,4.730212e-06,
